variant,trades,per_stock_yr,gross_bps,gross_t,cost_bps,net_bps,net_t,med_notional,avg_return_pct
trail2.0 gap>=0.3%,690,69.0,6.8737896422678135,3.2199699185654604,13.121852531810427,-6.248062889542614,-2.930843977838711,120250.35,-11.54095023821769
trail2.0 gap>=0.5%,422,42.2,9.423696813023511,3.246942129654497,13.435500781961494,-4.011803968937982,-1.3854786530934462,104765.7,-4.606269026404007
trail2.0 gap>=0.75%,234,23.4,16.5038455682907,3.7572343420766567,14.050746172838569,2.453099395452131,0.559837132546783,90109.04999999999,0.20434539028552248
trail2.0 gap>=1.0%,161,16.1,18.10425259751346,3.228418634462294,14.344340069718381,3.7599125277950813,0.6722153178424686,80160.0,0.2723797723649767
trail2.0 gap>=1.5%,64,6.4,27.873739283567147,2.9253292793904615,14.484041342191501,13.389697941375646,1.4141420100460178,67831.725,0.7960429083864351
fixed2:1 gap>=0.5%,422,42.2,11.499325365120031,2.4713730753950545,13.33726808088125,-1.837942715761219,-0.3951659531382992,107503.04999999999,-2.233327406200845
fixed2:1 gap>=1.0%,161,16.1,22.045764344570863,2.5024250006343802,14.260474331527536,7.785290013043327,0.8832343108476858,83225.7,2.4182294818798113
trail2.0 gap>=1.0% +rvol1.5,94,9.4,30.662166442198952,3.9259541341510777,14.881914075129233,15.78025236706972,2.0221791232377866,66395.42499999999,1.8839081649123866
trail2.0 gap>=1.0% +trend,161,16.1,17.911531721867465,3.191998520583273,14.34511392416291,3.5664177977045557,0.6371548859519698,80160.0,0.2216635664692351
trail3.0 gap>=1.0%,161,16.1,21.34265100909103,3.234855231559388,14.325786124700645,7.016864884390382,1.0653634507794207,80160.0,1.4218427612636795
