selection,hold_days,days,bps,hit_pct,t,t_nonoverlap
AS-PROPOSED top 3,1,3114,4.212527276331975,50.35324341682723,1.5776297361046743,1.5776297361046743
AS-PROPOSED top 3,3,3112,12.227534984954609,52.79562982005142,2.6834745471559582,0.25381876777503776
AS-PROPOSED top 3,5,3110,26.83377653322081,53.82636655948553,4.6345218009088365,1.9101209495099676
AS-PROPOSED top 3,10,3105,66.31975222984606,56.231884057971016,7.913749865861871,3.0812722863260986
AS-PROPOSED top 3,20,3095,131.6392079847352,58.48142164781906,10.750630131936068,2.5334115592898834
AS-PROPOSED top 3,40,3075,291.430075460699,62.796747967479675,16.958794252280857,3.5245601381037464
composite top 1,1,3114,4.787319534279846,48.90815671162492,1.2378448976741203,1.2378448976741203
composite top 1,3,3112,15.488720175171027,50.44987146529563,2.371091100193075,0.6937287663630439
composite top 1,5,3110,32.44008594196374,51.51125401929261,3.870052151263374,2.65694795398199
composite top 1,10,3105,78.73250072248439,53.71980676328503,6.719122875148261,3.5013517638042457
composite top 1,20,3095,132.8802172662833,54.76575121163167,7.987006432462101,2.188624908272078
composite top 1,40,3075,327.4731910742078,58.34146341463414,13.351797946761627,2.6717475732846623
composite top 3,1,3114,4.512940418711346,50.61014771997431,1.7289576897673535,1.7289576897673535
composite top 3,3,3112,15.256068496231332,51.96015424164524,3.3437976856976386,1.4630129760816084
composite top 3,5,3110,27.6777764935781,52.31511254019292,4.702694781865167,2.4282007147099183
composite top 3,10,3105,68.66246698516409,56.553945249597426,8.115517520317203,2.688908874471293
composite top 3,20,3095,143.24383455018142,59.41841680129241,11.3966949434698,2.0281151029054443
composite top 3,40,3075,303.8071253285125,62.34146341463415,16.91886609537637,3.033084524013308
UNIVERSE,1,3114,8.281301415078284,56.58317276814386,4.699652415983469,4.699652415983469
UNIVERSE,3,3112,24.63854214622494,58.61182519280206,7.748815165369267,4.784577265168368
UNIVERSE,5,3110,39.681833456815845,59.32475884244373,9.544031308413544,4.188756620418251
UNIVERSE,10,3105,75.33199489294033,63.18840579710145,12.662856310019606,3.8391918846749973
UNIVERSE,20,3095,140.69347851845433,66.94668820678513,16.72501611473119,4.102855836762848
UNIVERSE,40,3075,284.2628048340854,70.6341463414634,23.151756399395182,3.8855927846850578
composite bottom 3,1,3114,6.54803257488234,52.50481695568401,2.8584590581630134,2.8584590581630134
composite bottom 3,3,3112,23.301825017471504,54.33804627249358,5.695376673100445,4.073020478023349
composite bottom 3,5,3110,39.3281925891864,55.78778135048231,7.270745177948424,3.70377180773377
composite bottom 3,10,3105,78.50153386486022,57.10144927536231,10.272546982431285,3.3386547738583863
composite bottom 3,20,3095,147.15119164060798,60.64620355411955,13.727850552493978,3.386980881285035
composite bottom 3,40,3075,327.6692898159241,65.78861788617886,20.595694519116687,3.5408475061316604
