feature,ic_cc,ic_oc,ic_cc_lag1,t_cc,t_oc,t_cc_lag1
ret1,-0.025077279207392236,-0.03051170192014368,-0.02005584040066532,-9.701654112518868,-12.14724925801932,-8.420162838346075
ret5,-0.028255512906923838,-0.022306302628601296,-0.023455003736587193,-10.308470137973284,-8.434761445785746,-8.68299173588574
ret20,-0.01879062871965098,-0.016127155442539728,-0.013951770687995834,-6.658470940181209,-5.876538400395355,-5.006433002513817
ret60skip5,0.0009271915915836815,-0.005216675575307422,0.00243386305740733,0.3241814630036905,-1.8669659247766435,0.8534737790524272
dist_ma20,-0.026641214584700992,-0.02080653634771331,-0.020192385119850803,-9.162420278518008,-7.405790056899905,-7.115753834670469
dist_ma50,-0.020068881378403586,-0.01861505248155091,-0.01413871444383347,-6.722383132947045,-6.442485489027604,-4.770302487749163
dist_ma200,-0.003141161640774387,-0.009939669758937692,0.0004676839202527952,-1.010870793009217,-3.306150878745141,0.15046603716150456
rsi14,-0.023551675964374446,-0.01753717744687747,-0.016462716741329857,-8.35514728533735,-6.428542461361054,-5.9476366018646925
updays5,-0.02220661173945786,-0.01502745439090469,-0.016047804500111854,-10.307656760116105,-7.101249114724163,-7.54983148244005
high_prox,-0.01574213592777034,0.002402055228529818,-0.011776997480872261,-5.46312977372206,0.8755274171416699,-4.2181162394446385
low_prox,-0.024498637734222624,-0.026083358201464346,-0.018529377390550543,-9.376746649705817,-10.09361937856434,-7.164050770424649
clv,-0.023849074804863736,-0.004827245653382709,-0.0160849515932898,-10.524784229363522,-2.1897283545484676,-7.590776927998521
vol_ratio,-0.005212977294476106,-0.023214718317927735,-0.007463716020449111,-2.645853343440933,-11.698888270896184,-3.9208968559008155
turnover,-0.004348914966095037,-0.0077263666280469,-0.004072073878037887,-1.8936912858621746,-3.4648459314293767,-1.7552316516996682
atr_pct,-0.010251584733251851,-0.03644443320716961,-0.009967138470906434,-3.086009376319027,-11.338681405573642,-3.0156541730018227
tr_ratio,-0.0066461036070379325,-0.02428436947553503,-0.010022165154201573,-3.1257815915276477,-11.379691620874864,-5.013529398223323
gap_today,0.0033232380416466484,-0.027598891939487398,-0.00417456303967028,1.5451937355005896,-13.241016926139219,-2.0126383948073774
