feature,ic_cc,ic_oc,ic_cc_lag1,t_cc,t_oc,t_cc_lag1
ret1,-0.028352801808192482,-0.02489276208403183,-0.025571127705275917,-7.905917648994221,-7.018939725220881,-7.4364543615241425
ret5,-0.031306692880223704,-0.01977173735408797,-0.028172319133365608,-8.238501868788948,-5.3097309626612335,-7.512582202512464
ret20,-0.02011943376934199,-0.01212411677226034,-0.015250068877080056,-5.105654030815615,-3.1415999152335283,-3.9179207297949494
ret60skip5,-0.0004199937793018455,-0.005953967693246899,0.001633816296018468,-0.10501477298717234,-1.525285328150893,0.41092351436303165
dist_ma20,-0.02896214960066349,-0.017124083063832642,-0.02199693859302,-7.295650409743914,-4.4077109842984665,-5.635469693779247
dist_ma50,-0.020226155496467287,-0.014539241419171274,-0.014558264045741317,-4.962484087595829,-3.6590835065318856,-3.579513537623028
dist_ma200,-0.004752195871900994,-0.011361832152551496,-0.0010089646480810138,-1.1376989442396492,-2.7970329455025453,-0.24162042576135495
rsi14,-0.02615022871664601,-0.01506510258200748,-0.019147429550864736,-6.627983526937638,-3.931750803770502,-4.9061683449105455
updays5,-0.026335651268446832,-0.015207375026353713,-0.020845577903812623,-8.115201710340948,-4.747429230126235,-6.49352297838633
high_prox,-0.0224623831617678,0.0006577105882717904,-0.01802295522919755,-5.733009750080709,0.1730521058248841,-4.714377702559905
low_prox,-0.025601310630420537,-0.02238846857820467,-0.020297001448571567,-6.882105266012951,-6.049458594447603,-5.465327710189844
clv,-0.03254472629175554,-0.005939505620554372,-0.02355190913266976,-9.835480866082557,-1.83281005993477,-7.3412510043972
vol_ratio,-0.00398943020483365,-0.022592002267209674,-0.006077638194222568,-1.2580618176414702,-7.142866545844722,-1.9967184464879748
turnover,-0.009487360965713555,-0.019648545519926893,-0.00831365984482591,-2.9320691982172686,-6.107871232838071,-2.5743418193871594
atr_pct,-0.0004404064793829282,-0.02948686782607068,0.0006826853610822264,-0.10243253141157019,-7.11473319704062,0.15909091927231572
tr_ratio,-0.012773520837945241,-0.02917667088770974,-0.008603907288062847,-4.000042614592429,-9.111257797639416,-2.8254156065474043
gap_today,0.0013149234351823857,-0.029072286935149662,-0.0023035839917415197,0.3935345568644354,-8.854431659508844,-0.7096944952073321
