symbol,entry_date,exit_date,days,entry,exit,ret_bps,reason
ADANIPORTS,2012-08-23,2012-09-06,10,110.8,114.15,302.34657039711175,time
BHARTIARTL,2012-08-23,2012-09-06,10,228.87,231.72,124.52483942849702,time
BHARATFORG,2012-08-23,2012-09-06,10,143.7,137.8,-410.5775922059829,time
CANBK,2012-08-23,2012-09-06,10,65.61,60.35,-801.7070568510898,time
SAIL,2012-08-23,2012-09-06,10,84.2,76.75,-884.7980997624704,time
APOLLOTYRE,2012-09-06,2012-09-20,10,91.5,95.85,475.4098360655723,time
BHEL,2012-09-06,2012-09-20,10,134.13,144.1,743.3087303362407,time
DLF,2012-09-06,2012-09-20,10,192.6,230.25,1954.8286604361365,time
TATAPOWER,2012-09-06,2012-09-20,10,92.07,95.26,346.475507765831,time
VEDL,2012-09-06,2012-09-20,10,61.04,64.05,493.1192660550465,time
DRREDDY,2012-09-20,2012-10-05,10,333.01,339.46,193.6878772409223,time
DIVISLAB,2012-09-20,2012-10-05,10,535.55,547.78,228.36336476519392,time
NTPC,2012-09-20,2012-10-05,10,136.75,142.54,423.4003656307128,time
IPCALAB,2012-09-20,2012-10-05,10,210.15,221.63,546.2764691886734,time
TATACONSUM,2012-09-20,2012-10-05,10,127.4,150.2,1789.6389324960737,time
GLENMARK,2012-10-05,2012-10-19,10,399.95,400.8,21.252656582073648,time
INFY,2012-10-05,2012-10-19,10,315.86,297.92,-567.973152662572,time
LUPIN,2012-10-05,2012-10-19,10,568.15,573.4,92.40517468978248,time
TECHM,2012-10-05,2012-10-19,10,236.7,231.99,-198.98605830164672,time
ZYDUSLIFE,2012-10-05,2012-10-19,10,162.24,168.48,384.6153846153833,time
APOLLOTYRE,2012-10-19,2012-11-05,10,84.5,84.6,11.834319526626835,time
GAIL,2012-10-19,2012-11-05,10,67.6,66.94,-97.63313609467362,time
LICHSGFIN,2012-10-19,2012-11-05,10,247.65,251.5,155.4613365636981,time
PIDILITIND,2012-10-19,2012-11-05,10,100.1,94.73,-536.4635364635351,time
UPL,2012-10-19,2012-11-05,10,75.88,75.56,-42.171850289930426,time
BHARATFORG,2012-11-05,2012-11-20,10,132.98,124.43,-642.9538276432534,time
GODREJCP,2012-11-05,2012-11-20,10,229.4,226.87,-110.28770706190016,time
HINDUNILVR,2012-11-05,2012-11-20,10,533.0,520.2,-240.15009380862983,time
HAVELLS,2012-11-05,2012-11-20,10,116.34,115.83,-43.83702939659617,time
JINDALSTEL,2012-11-05,2012-11-20,10,380.35,369.1,-295.7802024451162,time
AMBUJACEM,2012-11-20,2012-12-05,10,195.75,207.2,584.9297573435508,time
HINDALCO,2012-11-20,2012-12-05,10,105.6,121.15,1472.5378787878806,time
SBIN,2012-11-20,2012-12-05,10,206.65,227.18,993.4672150979917,time
SHREECEM,2012-11-20,2012-12-05,10,3999.95,4299.3,748.3843548044366,time
VOLTAS,2012-11-20,2012-12-05,10,102.4,113.25,1059.5703125,time
APOLLOHOSP,2012-12-05,2012-12-19,10,805.55,814.4,109.86282664018354,time
GLENMARK,2012-12-05,2012-12-19,10,423.1,481.35,1376.7430867407238,time
INFY,2012-12-05,2012-12-19,10,297.81,287.02,-362.3115409153499,time
HINDUNILVR,2012-12-05,2012-12-19,10,531.75,522.95,-165.491302303713,time
MUTHOOTFIN,2012-12-05,2012-12-19,10,196.9,205.15,418.9944134078205,time
AUROPHARMA,2012-12-19,2013-01-03,10,94.28,101.1,723.3771743742045,time
BSOFT,2012-12-19,2013-01-03,10,66.58,67.33,112.64644037248361,time
DRREDDY,2012-12-19,2013-01-03,10,370.55,376.46,159.49264606665682,time
ITC,2012-12-19,2013-01-03,10,129.33,126.41,-225.7790149230665,time
TATACONSUM,2012-12-19,2013-01-03,10,165.15,165.85,42.38570996064173,time
DIVISLAB,2013-01-03,2013-01-17,10,546.85,527.13,-360.6107707780937,time
BSOFT,2013-01-03,2013-01-17,10,67.33,73.31,888.1627803356618,time
ITC,2013-01-03,2013-01-17,10,126.41,127.19,61.70397911557713,time
TITAN,2013-01-03,2013-01-17,10,282.75,276.7,-213.9699381078697,time
SUNPHARMA,2013-01-03,2013-01-17,10,366.93,358.5,-229.74409287875085,time
BAJAJFINSV,2013-01-17,2013-01-31,10,82.9,85.2,277.4427020506631,time
CIPLA,2013-01-17,2013-01-31,10,407.4,407.05,-8.59106529209508,time
COLPAL,2013-01-17,2013-01-31,10,722.65,675.05,-658.6867778315919,time
UBL,2013-01-17,2013-01-31,10,731.35,730.7,-8.887673480549863,time
UNITDSPR,2013-01-17,2013-01-31,10,351.82,360.88,257.51804900232986,time
ACC,2013-01-31,2013-02-14,10,1323.1,1246.05,-582.3444939913835,time
BHARTIARTL,2013-01-31,2013-02-14,10,312.15,286.5,-821.7203267659768,time
BHARATFORG,2013-01-31,2013-02-14,10,114.88,109.0,-511.83844011142065,time
COLPAL,2013-01-31,2013-02-14,10,675.05,655.93,-283.23827864602634,time
HINDUNILVR,2013-01-31,2013-02-14,10,473.95,464.55,-198.3331575060654,time
CANBK,2013-02-14,2013-02-28,10,84.12,80.63,-414.88349976224526,time
LICHSGFIN,2013-02-14,2013-02-28,10,252.1,232.4,-781.4359381197933,time
JSWSTEEL,2013-02-14,2013-02-28,10,78.58,73.93,-591.7536268770673,time
JSWENERGY,2013-02-14,2013-02-28,10,60.5,54.3,-1024.7933884297522,time
UPL,2013-02-14,2013-02-28,10,75.9,74.05,-243.7417654808971,time
BANKBARODA,2013-02-28,2013-03-14,10,139.13,145.0,421.90756846115283,time
JSWENERGY,2013-02-28,2013-03-14,10,54.3,58.85,837.9373848987126,time
