feature,ic,ic_t,ir,d10_minus_d1_bps,spread_t,d10_hit,d1_hit
clv,-0.023849074804863736,-10.524784229363522,-3.0693587039419308,-5.422594068963421,-3.1129481606163374,47.98499142995611,51.776714764134944
ret5,-0.028255512906923838,-10.308470137973284,-3.006274699108697,-5.841151053806036,-2.441967942238933,48.477125533003814,51.92226699836028
updays5,-0.02220661173945786,-10.307656760116105,-3.006037492497034,-11.070787012803123,-2.920522083305941,48.539401295898266,52.48564043699996
ret1,-0.025077279207392236,-9.701654112518868,-2.829308026079562,2.6998082332784494,1.1516692165038644,48.61824559966845,51.79680706173472
low_prox,-0.024498637734222624,-9.376746649705817,-2.7345547724994423,-2.822414291941544,-1.286271301491643,48.69821427125572,51.991457217939875
dist_ma20,-0.026641214584700992,-9.162420278518008,-2.6720504495077897,-8.041903673568354,-3.117311102652644,48.24598165324319,51.910390285628914
rsi14,-0.023551675964374446,-8.35514728533735,-2.436624208543784,-6.213861990525693,-2.691088818321315,48.318469185713184,51.77875028306145
dist_ma50,-0.020068881378403586,-6.722383132947045,-1.9604587353703145,-4.473517346196891,-1.7150845645471036,48.59358794061458,51.53974413141263
ret20,-0.01879062871965098,-6.658470940181209,-1.9418199261673157,-5.30992797651893,-2.173166160115002,48.71019168417474,51.522361860049635
high_prox,-0.01574213592777034,-5.46312977372206,-1.5932207783372454,-8.289649338934261,-3.525295037488368,48.45867980961639,51.60787545719116
tr_ratio,-0.0066461036070379325,-3.1257815915276477,-0.9115764015199239,-3.01881472048039,-1.5005196367235731,49.587760495271496,50.13445035074674
atr_pct,-0.010251584733251851,-3.086009376319027,-0.8999775703928165,7.158510656809143,2.513455864893332,50.26885871889497,50.68847344816365
vol_ratio,-0.005212977294476106,-2.645853343440933,-0.7716142024448326,1.4084915690122914,0.7397144843111423,49.91777665797622,50.369339302110774
turnover,-0.004348914966095037,-1.8936912858621746,-0.5522600467783229,-6.343351316227963,-2.5799390282148655,50.31613984621093,49.6364897654095
gap_today,0.0033232380416466484,1.5451937355005896,0.4506271803751833,5.2768767055207695,2.568671539564148,50.21311519438672,50.02258573842029
dist_ma200,-0.003141161640774387,-1.010870793009217,-0.2948017745035669,0.9879762685731424,0.3590030592045223,49.93484863438361,50.725673214146894
ret60skip5,0.0009271915915836815,0.3241814630036905,0.09454152916037312,2.7206044264774834,1.0885872821920815,50.08177997002628,50.083519441471594
