datetime,open,high,low,close,volume
2024-08-22 09:15:00+05:30,507.5,507.8,505.4,506.75,224151
2024-08-22 09:20:00+05:30,506.75,507.0,506.4,506.75,116197
2024-08-22 09:25:00+05:30,506.75,506.95,505.85,506.95,96555
2024-08-22 09:30:00+05:30,506.9,507.9,506.65,507.9,142598
2024-08-22 09:35:00+05:30,507.8,508.5,506.9,507.4,202451
2024-08-22 09:40:00+05:30,507.4,507.45,506.25,506.35,99504
2024-08-22 09:45:00+05:30,506.4,506.45,505.2,505.4,177877
2024-08-22 09:50:00+05:30,505.4,506.0,505.05,505.5,83337
2024-08-22 09:55:00+05:30,505.5,506.05,505.05,505.8,92002
2024-08-22 10:00:00+05:30,505.8,506.7,505.8,506.6,112724
2024-08-22 10:05:00+05:30,506.6,507.0,506.1,506.9,94024
2024-08-22 10:10:00+05:30,506.9,507.4,506.4,507.3,138918
2024-08-22 10:15:00+05:30,507.25,507.4,506.8,507.2,64017
2024-08-22 10:20:00+05:30,507.2,507.5,506.9,507.1,56276
2024-08-22 10:25:00+05:30,507.0,507.15,506.4,506.5,70784
2024-08-22 10:30:00+05:30,506.45,507.0,506.35,506.85,46902
2024-08-22 10:35:00+05:30,506.85,507.5,506.5,507.45,53235
2024-08-22 10:40:00+05:30,507.45,507.65,506.95,507.3,99958
2024-08-22 10:45:00+05:30,507.3,507.55,507.0,507.0,50176
2024-08-22 10:50:00+05:30,507.05,507.2,506.1,506.55,59779
2024-08-22 10:55:00+05:30,506.55,506.75,506.15,506.15,55944
2024-08-22 11:00:00+05:30,506.45,506.6,506.0,506.35,56663
2024-08-22 11:05:00+05:30,506.35,506.5,505.75,506.0,37966
2024-08-22 11:10:00+05:30,505.85,506.0,505.3,505.7,41930
2024-08-22 11:15:00+05:30,505.7,505.75,505.3,505.55,87949
2024-08-22 11:20:00+05:30,505.55,505.65,505.25,505.25,60997
2024-08-22 11:25:00+05:30,505.35,505.5,504.8,504.9,146876
2024-08-22 11:30:00+05:30,505.0,505.0,504.15,504.75,57203
2024-08-22 11:35:00+05:30,504.75,504.9,503.35,503.8,166640
2024-08-22 11:40:00+05:30,503.8,504.9,503.65,504.85,42066
2024-08-22 11:45:00+05:30,504.85,505.1,504.5,505.1,78018
2024-08-22 11:50:00+05:30,505.1,505.1,504.05,504.45,46781
2024-08-22 11:55:00+05:30,504.5,504.7,503.55,503.8,96264
