datetime,open,high,low,close,volume
2024-08-22 09:15:00+05:30,152.51,153.15,152.51,153.09,1393911
2024-08-22 09:20:00+05:30,153.06,153.1,152.76,152.86,930314
2024-08-22 09:25:00+05:30,152.85,153.0,152.65,152.98,588801
2024-08-22 09:30:00+05:30,152.98,153.1,152.7,152.77,675853
2024-08-22 09:35:00+05:30,152.79,152.87,152.55,152.79,459758
2024-08-22 09:40:00+05:30,152.79,152.92,152.71,152.88,336383
2024-08-22 09:45:00+05:30,152.88,152.88,152.52,152.55,418936
2024-08-22 09:50:00+05:30,152.54,152.75,152.53,152.7,342070
2024-08-22 09:55:00+05:30,152.64,152.88,152.53,152.81,383632
2024-08-22 10:00:00+05:30,152.85,153.07,152.8,152.93,473100
2024-08-22 10:05:00+05:30,152.88,153.0,152.8,152.84,205888
2024-08-22 10:10:00+05:30,152.84,152.88,152.65,152.85,174476
2024-08-22 10:15:00+05:30,152.85,152.9,152.65,152.75,154409
2024-08-22 10:20:00+05:30,152.75,152.89,152.63,152.84,168743
2024-08-22 10:25:00+05:30,152.81,152.89,152.71,152.8,150322
2024-08-22 10:30:00+05:30,152.77,152.9,152.7,152.84,125440
2024-08-22 10:35:00+05:30,152.83,152.95,152.77,152.85,207558
2024-08-22 10:40:00+05:30,152.84,152.97,152.8,152.93,161170
2024-08-22 10:45:00+05:30,152.96,152.96,152.78,152.81,145811
2024-08-22 10:50:00+05:30,152.83,152.9,152.81,152.86,112791
2024-08-22 10:55:00+05:30,152.88,152.93,152.83,152.85,110693
2024-08-22 11:00:00+05:30,152.85,152.93,152.65,152.81,218849
2024-08-22 11:05:00+05:30,152.84,153.2,152.71,153.2,558304
2024-08-22 11:10:00+05:30,153.2,153.4,153.14,153.38,588464
2024-08-22 11:15:00+05:30,153.4,153.89,153.35,153.6,1512748
2024-08-22 11:20:00+05:30,153.6,153.89,153.56,153.77,810305
2024-08-22 11:25:00+05:30,153.77,153.83,153.45,153.61,535298
2024-08-22 11:30:00+05:30,153.61,153.84,153.6,153.75,337962
2024-08-22 11:35:00+05:30,153.76,154.09,153.7,153.8,1633427
2024-08-22 11:40:00+05:30,153.76,153.86,153.7,153.77,196038
2024-08-22 11:45:00+05:30,153.77,153.95,153.54,153.85,791990
2024-08-22 11:50:00+05:30,153.85,153.95,153.79,153.82,293544
2024-08-22 11:55:00+05:30,153.81,153.95,153.75,153.88,241891
2024-08-22 12:00:00+05:30,153.93,153.94,153.71,153.79,173119
2024-08-22 12:05:00+05:30,153.75,154.16,153.72,154.0,1100606
2024-08-22 12:10:00+05:30,154.0,154.0,153.76,153.98,373857
2024-08-22 12:15:00+05:30,153.98,154.2,153.86,153.93,646814
2024-08-22 12:20:00+05:30,153.93,153.94,153.7,153.77,220209
2024-08-22 12:25:00+05:30,153.77,154.0,153.54,153.96,758315
2024-08-22 12:30:00+05:30,153.9,153.99,153.75,153.8,195697
2024-08-22 12:35:00+05:30,153.8,153.86,153.65,153.75,147053
2024-08-22 12:40:00+05:30,153.75,153.75,153.5,153.51,259466
2024-08-22 12:45:00+05:30,153.51,154.0,153.5,153.81,781617
2024-08-22 12:50:00+05:30,153.84,154.05,153.72,154.02,449727
2024-08-22 12:55:00+05:30,154.02,154.02,153.9,153.92,411070
2024-08-22 13:00:00+05:30,153.95,153.95,153.76,153.76,120177
2024-08-22 13:05:00+05:30,153.8,153.85,153.72,153.74,193047
