datetime,open,high,low,close,volume
2011-08-24 00:00:00+05:30,294.99,297.48,285.14,290.13,736469
2011-08-25 00:00:00+05:30,293.6,296.47,287.73,289.99,903650
2011-08-26 00:00:00+05:30,293.03,293.03,282.65,285.74,608687
2011-08-29 00:00:00+05:30,291.44,295.13,287.87,294.53,568171
2011-08-30 00:00:00+05:30,299.06,301.16,286.74,289.06,1424547
2011-09-02 00:00:00+05:30,294.71,295.97,287.73,290.86,913038
2011-09-05 00:00:00+05:30,289.91,295.37,284.56,290.29,538327
2011-09-06 00:00:00+05:30,289.94,295.87,286.47,292.15,567299
2011-09-07 00:00:00+05:30,294.55,314.1,290.46,302.44,1614695
2011-09-08 00:00:00+05:30,303.01,312.74,300.29,306.54,621175
2011-09-09 00:00:00+05:30,308.89,310.33,295.62,301.67,732103
2011-09-12 00:00:00+05:30,297.66,313.39,292.1,302.14,1898034
2011-09-13 00:00:00+05:30,304.11,307.93,299.42,303.89,750963
2011-09-14 00:00:00+05:30,303.57,312.33,301.63,307.36,413777
2011-09-15 00:00:00+05:30,308.59,323.14,308.56,320.05,995921
2011-09-16 00:00:00+05:30,319.94,328.67,317.89,327.31,779712
2011-09-19 00:00:00+05:30,330.31,332.49,313.94,315.63,508692
2011-09-20 00:00:00+05:30,316.63,334.11,315.6,329.71,795962
2011-09-21 00:00:00+05:30,330.26,342.87,330.26,337.93,986629
2011-09-22 00:00:00+05:30,333.59,333.59,317.22,318.8,740542
2011-09-23 00:00:00+05:30,316.63,318.19,308.59,310.96,606656
2011-09-26 00:00:00+05:30,316.66,316.66,293.16,295.37,671168
2011-09-27 00:00:00+05:30,300.29,310.06,298.38,306.86,982338
2011-09-28 00:00:00+05:30,310.3,310.3,291.0,295.84,406933
2011-09-29 00:00:00+05:30,296.47,301.33,291.0,293.6,976411
2011-09-30 00:00:00+05:30,299.39,299.39,283.9,287.65,753734
2011-10-03 00:00:00+05:30,284.76,285.0,269.71,276.1,771696
2011-10-04 00:00:00+05:30,277.9,277.9,259.97,263.71,838108
2011-10-05 00:00:00+05:30,264.88,268.87,255.52,256.83,799851
2011-10-07 00:00:00+05:30,264.77,278.91,244.38,252.18,1472881
2011-10-10 00:00:00+05:30,253.85,257.13,249.51,251.37,651178
2011-10-11 00:00:00+05:30,256.36,256.36,239.76,250.47,2998032
2011-10-12 00:00:00+05:30,251.7,255.32,251.07,253.71,847319
2011-10-13 00:00:00+05:30,254.48,263.86,249.51,256.58,3227497
2011-10-14 00:00:00+05:30,258.22,262.01,254.97,257.1,375123
2011-10-17 00:00:00+05:30,258.74,260.95,253.49,254.53,407528
2011-10-18 00:00:00+05:30,250.06,253.28,248.42,251.75,1864203
2011-10-19 00:00:00+05:30,252.87,259.07,251.23,258.33,1311593
2011-10-20 00:00:00+05:30,256.6,257.5,250.47,254.21,328185
2011-10-21 00:00:00+05:30,258.77,258.77,250.06,252.32,406068
2011-10-24 00:00:00+05:30,254.45,255.65,250.6,251.72,717416
2011-10-25 00:00:00+05:30,253.71,254.64,247.41,251.42,765245
2011-10-26 00:00:00+05:30,256.06,256.06,251.97,253.05,34488
2011-10-28 00:00:00+05:30,258.74,265.02,256.6,261.88,1019416
2011-10-31 00:00:00+05:30,263.62,266.1,259.47,260.92,954176
2011-11-01 00:00:00+05:30,257.7,259.31,251.15,253.11,938438
2011-11-02 00:00:00+05:30,249.54,254.45,249.54,253.04,1007027
2011-11-03 00:00:00+05:30,253.74,258.79,249.73,252.78,920389
2011-11-04 00:00:00+05:30,256.15,256.45,250.74,252.38,1656512
2011-11-08 00:00:00+05:30,253.77,253.77,250.11,252.38,669135
2011-11-09 00:00:00+05:30,252.35,252.78,249.56,251.45,365649
2011-11-11 00:00:00+05:30,250.8,254.51,248.01,250.57,1022309
2011-11-14 00:00:00+05:30,253.66,254.32,248.42,249.24,970447
2011-11-15 00:00:00+05:30,250.54,250.54,220.41,225.1,2501996
2011-11-16 00:00:00+05:30,222.76,223.85,199.94,209.27,3949928
2011-11-17 00:00:00+05:30,213.48,213.53,188.99,191.94,3569363
2011-11-18 00:00:00+05:30,199.28,199.28,175.25,183.12,4613397
2011-11-21 00:00:00+05:30,180.72,184.95,168.57,170.35,1670172
2011-11-22 00:00:00+05:30,169.25,176.57,167.12,171.71,1930773
2011-11-23 00:00:00+05:30,169.25,174.17,160.02,161.39,1654397
2011-11-24 00:00:00+05:30,159.29,177.44,152.35,173.24,7416986
2011-11-25 00:00:00+05:30,179.63,181.81,169.36,175.23,1797763
2011-11-28 00:00:00+05:30,177.76,179.98,172.53,173.37,1202319
2011-11-29 00:00:00+05:30,174.71,178.37,164.14,166.91,1639736
2011-11-30 00:00:00+05:30,165.98,172.56,160.9,164.56,1668324
2011-12-01 00:00:00+05:30,169.8,172.74,166.05,168.85,913168
2011-12-02 00:00:00+05:30,171.79,188.09,166.52,184.92,1964963
2011-12-05 00:00:00+05:30,184.81,193.03,182.95,187.68,1969898
2011-12-07 00:00:00+05:30,187.82,191.53,183.72,186.15,1050052
2011-12-08 00:00:00+05:30,186.21,187.76,175.55,182.8,1575908
2011-12-09 00:00:00+05:30,179.9,182.63,173.27,177.25,1556811
2011-12-12 00:00:00+05:30,178.15,181.48,169.01,171.49,1221269
2011-12-13 00:00:00+05:30,169.75,178.8,167.64,175.42,1428769
2011-12-14 00:00:00+05:30,175.42,175.48,169.63,172.14,1834780
2011-12-15 00:00:00+05:30,169.8,173.34,167.56,171.73,759453
2011-12-16 00:00:00+05:30,172.53,177.44,167.48,171.9,932466
2011-12-19 00:00:00+05:30,169.8,171.9,166.38,168.95,1644891
2011-12-20 00:00:00+05:30,169.17,171.84,165.18,168.54,967812
2011-12-21 00:00:00+05:30,170.35,173.62,164.56,170.29,1218790
2011-12-22 00:00:00+05:30,169.77,171.93,168.29,170.02,1098010
2011-12-23 00:00:00+05:30,170.73,178.7,170.73,175.34,1120856
2011-12-26 00:00:00+05:30,176.54,181.26,174.8,178.05,807079
2011-12-27 00:00:00+05:30,178.45,180.26,173.62,175.69,335960
2011-12-28 00:00:00+05:30,172.99,178.8,171.43,177.52,656691
2011-12-29 00:00:00+05:30,178.37,179.87,168.68,170.89,1347772
2011-12-30 00:00:00+05:30,169.52,172.53,157.32,160.29,1549396
2012-01-02 00:00:00+05:30,159.97,159.97,154.51,157.6,1242660
2012-01-03 00:00:00+05:30,158.34,160.52,154.92,156.88,2006754
2012-01-04 00:00:00+05:30,156.88,160.52,150.79,151.86,2057034
2012-01-05 00:00:00+05:30,150.75,151.62,144.69,145.83,1872064
2012-01-06 00:00:00+05:30,143.59,149.32,142.52,146.62,2196358
2012-01-07 00:00:00+05:30,146.87,148.4,145.29,146.94,149376
2012-01-09 00:00:00+05:30,147.06,149.05,144.33,146.21,2106015
2012-01-10 00:00:00+05:30,146.7,155.87,146.7,154.7,3936669
2012-01-11 00:00:00+05:30,155.03,176.35,155.03,171.43,8181831
2012-01-12 00:00:00+05:30,171.27,180.06,167.37,175.34,4557417
2012-01-13 00:00:00+05:30,174.25,178.95,168.19,176.29,1246764
2012-01-16 00:00:00+05:30,175.81,195.65,173.13,193.82,3225770
2012-01-17 00:00:00+05:30,195.95,205.29,192.48,203.32,3899363
2012-01-18 00:00:00+05:30,204.19,220.82,202.99,218.31,6210538
2012-01-19 00:00:00+05:30,223.71,245.52,218.99,240.5,6357369
2012-01-20 00:00:00+05:30,242.96,248.89,218.94,221.56,7937369
2012-01-23 00:00:00+05:30,218.39,227.62,212.41,218.09,6752891
2012-01-24 00:00:00+05:30,217.84,225.71,216.89,221.45,2615875
2012-01-25 00:00:00+05:30,221.93,224.56,217.14,218.34,2145868
2012-01-27 00:00:00+05:30,216.26,234.61,181.62,231.19,5684325
2012-01-30 00:00:00+05:30,228.88,231.22,211.92,214.76,4118099
2012-01-31 00:00:00+05:30,215.33,229.86,214.02,227.07,5317219
2012-02-01 00:00:00+05:30,226.58,239.27,226.58,238.18,3895636
2012-02-02 00:00:00+05:30,241.81,241.81,230.35,234.8,4129462
2012-02-03 00:00:00+05:30,234.8,236.52,229.34,233.33,1189774
2012-02-06 00:00:00+05:30,236.82,240.23,232.04,237.52,4629027
2012-02-07 00:00:00+05:30,240.23,240.26,217.05,219.24,2970185
2012-02-08 00:00:00+05:30,220.02,228.58,219.78,223.99,2127576
2012-02-09 00:00:00+05:30,224.97,227.12,206.57,213.92,6388682
2012-02-10 00:00:00+05:30,214.84,221.33,207.61,215.0,2556396
2012-02-13 00:00:00+05:30,215.66,217.16,202.07,203.54,2897066
2012-02-14 00:00:00+05:30,203.38,203.92,191.11,194.42,6870981
2012-02-15 00:00:00+05:30,194.91,208.01,194.26,206.6,9614850
2012-02-16 00:00:00+05:30,207.58,215.6,203.05,214.13,5251367
2012-02-17 00:00:00+05:30,216.61,231.77,215.69,226.17,7141035
2012-02-21 00:00:00+05:30,226.17,233.35,226.17,230.29,4552808
2012-02-22 00:00:00+05:30,230.79,232.59,208.64,211.43,5563589
2012-02-23 00:00:00+05:30,210.75,216.2,204.74,209.87,4336825
2012-02-24 00:00:00+05:30,212.33,215.17,203.11,205.67,2263197
2012-02-27 00:00:00+05:30,205.67,206.3,188.36,189.76,1885655
2012-02-28 00:00:00+05:30,191.67,202.01,191.64,200.78,2768965
2012-02-29 00:00:00+05:30,203.59,207.99,202.01,204.6,2154614
2012-03-01 00:00:00+05:30,204.74,204.74,197.1,200.18,1590522
2012-03-02 00:00:00+05:30,201.47,202.72,191.1,192.84,2664507
2012-03-03 00:00:00+05:30,193.01,198.08,192.65,196.0,396518
2012-03-05 00:00:00+05:30,196.0,201.35,192.18,195.95,2206568
2012-03-06 00:00:00+05:30,196.55,200.81,190.06,191.37,1612306
2012-03-07 00:00:00+05:30,188.36,191.04,172.23,174.17,5149615
2012-03-09 00:00:00+05:30,179.3,182.87,165.37,173.37,7061922
2012-03-12 00:00:00+05:30,178.37,180.44,172.91,177.22,2960677
2012-03-13 00:00:00+05:30,179.08,186.65,175.85,182.03,4569705
2012-03-14 00:00:00+05:30,180.06,186.72,176.62,177.61,3240459
2012-03-15 00:00:00+05:30,176.65,176.65,171.43,172.99,1865707
2012-03-16 00:00:00+05:30,172.17,176.14,166.28,167.81,2118674
2012-03-19 00:00:00+05:30,169.36,170.1,157.62,161.03,2711365
2012-03-20 00:00:00+05:30,160.11,161.61,153.15,155.2,4841590
2012-03-21 00:00:00+05:30,155.54,164.31,154.19,163.46,4717864
2012-03-22 00:00:00+05:30,162.7,166.65,153.96,155.2,3661524
2012-03-23 00:00:00+05:30,156.28,159.97,154.07,157.65,2107102
2012-03-26 00:00:00+05:30,156.53,158.06,150.14,150.85,2239087
2012-03-27 00:00:00+05:30,152.96,157.16,152.33,155.54,2089955
2012-03-28 00:00:00+05:30,154.57,156.64,153.12,155.17,2858538
2012-03-29 00:00:00+05:30,153.63,165.98,153.09,163.6,6293275
2012-03-30 00:00:00+05:30,163.79,168.98,163.79,166.44,2284601
2012-04-02 00:00:00+05:30,166.55,171.13,166.55,168.16,1548407
2012-04-03 00:00:00+05:30,170.2,176.68,165.43,174.98,3465277
2012-04-04 00:00:00+05:30,175.25,177.44,171.76,173.4,1896829
2012-04-09 00:00:00+05:30,172.53,173.02,168.13,169.66,1031853
2012-04-10 00:00:00+05:30,169.66,174.71,168.16,172.53,1863756
2012-04-11 00:00:00+05:30,170.35,174.38,165.92,167.75,1614001
2012-04-12 00:00:00+05:30,168.76,172.01,167.99,169.01,999093
2012-04-13 00:00:00+05:30,170.53,173.37,164.34,165.68,1668663
2012-04-16 00:00:00+05:30,164.94,168.59,162.92,166.47,1303728
2012-04-17 00:00:00+05:30,165.9,167.99,160.85,165.68,1750557
2012-04-18 00:00:00+05:30,167.37,174.44,166.74,167.81,3755340
2012-04-19 00:00:00+05:30,168.92,168.92,162.4,163.74,2089048
2012-04-20 00:00:00+05:30,163.24,164.61,155.87,156.88,3308081
2012-04-23 00:00:00+05:30,158.25,161.06,151.12,152.0,1737840
2012-04-24 00:00:00+05:30,152.87,154.13,149.27,152.25,1914280
2012-04-25 00:00:00+05:30,152.57,153.75,148.56,150.55,1280663
2012-04-26 00:00:00+05:30,151.21,155.47,147.41,148.91,2986645
2012-04-27 00:00:00+05:30,149.6,151.24,147.41,150.36,1088907
2012-04-28 00:00:00+05:30,150.14,151.32,149.68,150.88,123386
2012-04-30 00:00:00+05:30,150.79,154.51,148.51,153.39,1047187
2012-05-02 00:00:00+05:30,155.24,155.74,151.53,152.46,911360
2012-05-03 00:00:00+05:30,151.24,152.22,147.41,148.13,1155467
2012-05-04 00:00:00+05:30,146.32,149.51,142.49,146.97,2562139
2012-05-07 00:00:00+05:30,143.1,153.26,141.24,151.26,1566832
2012-05-08 00:00:00+05:30,149.92,152.9,144.69,146.73,1106833
2012-05-09 00:00:00+05:30,145.72,149.46,139.83,140.89,1643318
2012-05-10 00:00:00+05:30,141.52,145.23,139.83,140.59,1150589
2012-05-11 00:00:00+05:30,140.31,141.9,135.26,137.34,1432278
2012-05-14 00:00:00+05:30,138.0,139.06,128.44,131.01,1442563
2012-05-15 00:00:00+05:30,130.84,131.58,126.18,129.1,1207683
2012-05-16 00:00:00+05:30,127.26,127.95,124.81,125.71,1196007
2012-05-17 00:00:00+05:30,126.31,130.21,123.94,125.05,1082951
2012-05-18 00:00:00+05:30,119.4,127.7,113.61,126.75,1298009
2012-05-21 00:00:00+05:30,125.58,133.68,125.58,130.57,3596994
2012-05-22 00:00:00+05:30,132.37,134.48,131.06,132.24,1670548
2012-05-23 00:00:00+05:30,131.04,133.71,130.27,131.77,869862
2012-05-24 00:00:00+05:30,131.53,133.55,128.83,132.29,555968
2012-05-25 00:00:00+05:30,132.27,144.03,132.27,141.68,3216704
2012-05-28 00:00:00+05:30,143.1,144.63,141.52,143.23,1312635
2012-05-29 00:00:00+05:30,143.05,147.25,140.45,145.69,1384963
2012-05-30 00:00:00+05:30,144.69,149.44,142.28,143.08,1662501
2012-05-31 00:00:00+05:30,141.95,147.5,139.47,142.25,2486008
2012-06-01 00:00:00+05:30,139.77,140.72,129.75,130.98,1415587
2012-06-04 00:00:00+05:30,128.85,128.85,123.28,125.85,2168973
2012-06-05 00:00:00+05:30,126.96,128.27,123.99,125.01,1814413
2012-06-06 00:00:00+05:30,124.48,129.23,124.48,126.26,5089921
2012-06-07 00:00:00+05:30,128.2,128.8,122.9,125.93,3469510
2012-06-08 00:00:00+05:30,124.92,125.74,123.11,124.32,2792975
2012-06-11 00:00:00+05:30,125.58,128.12,122.47,123.07,5168014
2012-06-12 00:00:00+05:30,121.21,126.66,120.25,124.72,3193770
2012-06-13 00:00:00+05:30,125.65,125.65,121.31,122.24,2721056
2012-06-14 00:00:00+05:30,121.78,123.39,119.84,120.5,1533170
2012-06-15 00:00:00+05:30,121.21,122.6,120.66,121.51,1378820
2012-06-18 00:00:00+05:30,122.03,123.07,111.54,113.67,3428033
2012-06-19 00:00:00+05:30,114.65,115.75,111.37,114.14,2751832
2012-06-20 00:00:00+05:30,114.85,119.02,114.0,118.09,3017766
2012-06-21 00:00:00+05:30,117.93,120.03,116.29,119.24,3154247
