datetime,open,high,low,close,volume
2011-08-24 00:00:00+05:30,16.84,16.84,16.01,16.04,790515
2011-08-25 00:00:00+05:30,16.05,16.35,15.46,15.79,3277098
2011-08-26 00:00:00+05:30,16.14,16.14,15.48,15.72,2236707
2011-08-29 00:00:00+05:30,15.73,15.86,15.61,15.79,1095138
2011-08-30 00:00:00+05:30,15.76,16.05,15.47,15.57,2053161
2011-09-02 00:00:00+05:30,15.83,16.36,15.67,16.08,5800905
2011-09-05 00:00:00+05:30,15.96,16.41,15.96,16.25,2763585
2011-09-06 00:00:00+05:30,16.64,16.64,16.06,16.14,1644786
2011-09-07 00:00:00+05:30,16.31,16.56,16.16,16.36,1760913
2011-09-08 00:00:00+05:30,16.52,16.53,16.12,16.16,1085139
2011-09-09 00:00:00+05:30,16.34,16.34,16.11,16.22,1342242
2011-09-12 00:00:00+05:30,16.16,16.25,15.89,15.95,818730
2011-09-13 00:00:00+05:30,15.96,16.01,15.7,15.73,1941192
2011-09-14 00:00:00+05:30,15.71,15.95,15.7,15.88,1091475
2011-09-15 00:00:00+05:30,15.96,16.16,15.93,16.11,453123
2011-09-16 00:00:00+05:30,15.95,16.3,15.67,15.75,4579740
2011-09-19 00:00:00+05:30,15.66,16.14,15.66,15.85,646965
2011-09-20 00:00:00+05:30,16.15,16.67,15.68,15.98,455796
2011-09-21 00:00:00+05:30,15.98,16.21,15.86,16.04,1284030
2011-09-22 00:00:00+05:30,15.63,16.26,15.6,16.07,1704483
2011-09-23 00:00:00+05:30,15.66,16.01,15.4,15.53,12173734
2011-09-26 00:00:00+05:30,15.4,15.76,14.96,15.07,3510837
2011-09-27 00:00:00+05:30,14.9,15.35,14.9,15.3,1794177
2011-09-28 00:00:00+05:30,15.81,15.81,15.3,15.39,2140974
2011-09-29 00:00:00+05:30,15.45,15.6,15.15,15.3,2149389
2011-09-30 00:00:00+05:30,15.0,15.55,15.0,15.5,1793583
2011-10-03 00:00:00+05:30,15.06,15.45,14.77,15.04,1322838
2011-10-04 00:00:00+05:30,14.89,15.3,14.88,15.02,2115531
2011-10-05 00:00:00+05:30,15.13,15.33,15.1,15.17,1352439
2011-10-07 00:00:00+05:30,14.66,15.63,14.49,15.35,2203344
2011-10-10 00:00:00+05:30,15.42,15.42,15.21,15.36,565983
2011-10-11 00:00:00+05:30,15.45,15.61,15.37,15.46,1320759
2011-10-12 00:00:00+05:30,15.45,15.61,15.45,15.55,9888814
2011-10-13 00:00:00+05:30,15.57,15.75,15.56,15.68,5031180
2011-10-14 00:00:00+05:30,15.69,15.69,15.47,15.55,152460
2011-10-17 00:00:00+05:30,15.56,15.56,15.39,15.45,1962972
2011-10-18 00:00:00+05:30,15.35,15.61,15.34,15.37,429165
2011-10-19 00:00:00+05:30,15.55,15.56,15.34,15.44,577566
2011-10-20 00:00:00+05:30,15.61,15.61,15.34,15.37,245619
2011-10-21 00:00:00+05:30,15.45,15.5,15.32,15.38,1531629
2011-10-24 00:00:00+05:30,15.38,15.46,15.29,15.37,513909
2011-10-25 00:00:00+05:30,15.35,15.46,15.28,15.44,1204632
2011-10-26 00:00:00+05:30,15.45,15.66,15.35,15.62,162360
2011-10-28 00:00:00+05:30,15.7,16.03,15.7,15.88,951390
2011-10-31 00:00:00+05:30,16.16,16.36,15.72,15.82,2843280
2011-11-01 00:00:00+05:30,15.86,16.11,15.7,16.05,1018512
2011-11-02 00:00:00+05:30,15.89,16.04,15.71,15.79,1422531
2011-11-03 00:00:00+05:30,15.73,15.84,15.56,15.67,4673691
2011-11-04 00:00:00+05:30,16.04,16.04,15.67,15.8,1321947
2011-11-08 00:00:00+05:30,15.94,16.08,15.76,15.97,375804
2011-11-09 00:00:00+05:30,15.78,16.04,15.78,15.96,3698739
