datetime,open,high,low,close,volume
2011-08-24 00:00:00+05:30,160.42,161.11,159.06,159.89,263508
2011-08-25 00:00:00+05:30,160.42,160.42,155.38,156.89,368268
2011-08-26 00:00:00+05:30,155.5,161.05,155.5,158.74,383578
2011-08-29 00:00:00+05:30,170.45,170.45,158.04,159.54,288304
2011-08-30 00:00:00+05:30,159.62,161.28,157.27,159.48,52160
2011-09-02 00:00:00+05:30,161.28,162.07,157.87,161.07,388518
2011-09-05 00:00:00+05:30,154.67,161.01,151.55,159.74,50179
2011-09-06 00:00:00+05:30,159.58,161.38,158.61,160.38,174773
2011-09-07 00:00:00+05:30,170.45,170.45,158.96,160.92,18896
2011-09-08 00:00:00+05:30,163.49,163.49,159.65,161.34,158168
2011-09-09 00:00:00+05:30,161.45,162.64,160.42,161.07,108526
2011-09-12 00:00:00+05:30,160.42,164.5,157.02,159.32,182619
2011-09-13 00:00:00+05:30,162.64,162.73,157.35,159.03,54269
2011-09-14 00:00:00+05:30,159.06,160.74,153.6,156.11,1273213
2011-09-15 00:00:00+05:30,160.26,160.26,153.8,156.52,84146
2011-09-16 00:00:00+05:30,160.39,160.41,147.11,150.82,1741558
2011-09-19 00:00:00+05:30,151.9,152.74,149.34,150.47,863765
2011-09-20 00:00:00+05:30,150.37,152.74,149.02,151.57,403019
2011-09-21 00:00:00+05:30,152.58,156.16,151.22,154.5,157716
2011-09-22 00:00:00+05:30,152.74,154.42,149.34,151.08,102896
2011-09-23 00:00:00+05:30,151.04,158.38,148.48,156.53,142893
2011-09-26 00:00:00+05:30,159.91,162.98,156.16,157.28,164736
2011-09-27 00:00:00+05:30,159.58,159.62,156.12,158.7,229968
2011-09-28 00:00:00+05:30,160.42,160.42,152.32,156.14,1513324
2011-09-29 00:00:00+05:30,157.86,168.63,153.6,166.24,348561
2011-09-30 00:00:00+05:30,160.43,166.74,160.43,165.41,27633
2011-10-03 00:00:00+05:30,166.4,167.06,155.69,157.54,93626
2011-10-04 00:00:00+05:30,163.84,168.57,156.34,159.82,273275
2011-10-05 00:00:00+05:30,162.81,162.81,153.69,154.86,61030
2011-10-07 00:00:00+05:30,157.02,160.82,155.34,156.91,385224
2011-10-10 00:00:00+05:30,158.72,159.28,155.31,158.76,9521
2011-10-11 00:00:00+05:30,158.22,175.58,158.21,167.91,361476
2011-10-12 00:00:00+05:30,168.1,172.2,168.1,170.64,52523
2011-10-13 00:00:00+05:30,172.2,173.91,168.96,170.95,618169
2011-10-14 00:00:00+05:30,170.65,170.66,167.29,168.19,4124
2011-10-17 00:00:00+05:30,170.66,171.34,165.64,168.33,25588
2011-10-18 00:00:00+05:30,167.08,170.33,165.07,165.93,8724
2011-10-19 00:00:00+05:30,171.88,171.88,168.1,168.89,581970
2011-10-20 00:00:00+05:30,164.78,168.96,164.78,168.01,28119
2011-10-21 00:00:00+05:30,167.78,169.29,167.78,168.38,21591
2011-10-24 00:00:00+05:30,168.62,168.97,166.75,167.42,20718
2011-10-25 00:00:00+05:30,167.42,168.1,163.87,166.97,97294
2011-10-26 00:00:00+05:30,165.75,168.75,165.07,167.04,1933
2011-10-28 00:00:00+05:30,168.79,180.41,166.94,170.22,1318891
2011-10-31 00:00:00+05:30,172.36,176.64,165.72,168.1,484921
2011-11-01 00:00:00+05:30,167.26,170.5,165.73,167.53,391839
2011-11-02 00:00:00+05:30,169.3,169.64,164.01,165.98,75421
2011-11-03 00:00:00+05:30,165.38,168.45,164.02,166.39,47929
2011-11-04 00:00:00+05:30,165.55,168.96,163.84,165.2,761630
2011-11-08 00:00:00+05:30,166.79,167.26,164.7,165.46,1122075
2011-11-09 00:00:00+05:30,164.35,167.12,164.1,165.87,51316
2011-11-11 00:00:00+05:30,165.8,167.54,164.07,165.79,129761
2011-11-14 00:00:00+05:30,164.35,167.26,164.35,165.5,64160
2011-11-15 00:00:00+05:30,166.3,166.48,162.58,163.84,122039
2011-11-16 00:00:00+05:30,163.84,165.54,162.52,163.55,61716
2011-11-17 00:00:00+05:30,163.84,164.46,162.61,163.82,22488
2011-11-18 00:00:00+05:30,163.83,163.84,160.77,163.36,37758
2011-11-21 00:00:00+05:30,161.31,164.9,161.31,163.5,24210
2011-11-22 00:00:00+05:30,164.65,166.35,162.82,163.73,105093
2011-11-23 00:00:00+05:30,162.49,164.34,158.15,159.62,365900
2011-11-24 00:00:00+05:30,159.92,161.22,153.6,156.15,37318
2011-11-25 00:00:00+05:30,155.49,160.38,153.43,154.45,87873
2011-11-28 00:00:00+05:30,157.02,158.7,154.79,156.94,162018
2011-11-29 00:00:00+05:30,158.5,160.2,155.6,156.94,169418
2011-11-30 00:00:00+05:30,158.06,158.06,152.52,154.09,567439
2011-12-01 00:00:00+05:30,155.14,159.23,154.54,155.69,84978
2011-12-02 00:00:00+05:30,155.3,156.84,154.17,156.06,153626
2011-12-05 00:00:00+05:30,154.83,159.06,153.63,155.31,117731
2011-12-07 00:00:00+05:30,156.32,156.32,152.07,153.64,400723
2011-12-08 00:00:00+05:30,151.04,168.79,151.04,161.76,385816
2011-12-09 00:00:00+05:30,157.86,157.86,152.09,153.43,128355
2011-12-12 00:00:00+05:30,156.84,156.84,150.23,152.5,514564
2011-12-13 00:00:00+05:30,151.2,153.6,150.36,151.95,167859
2011-12-14 00:00:00+05:30,155.3,156.16,150.58,151.3,140660
2011-12-15 00:00:00+05:30,151.21,151.21,148.49,149.22,105280
2011-12-16 00:00:00+05:30,149.55,153.01,144.67,146.66,215571
2011-12-19 00:00:00+05:30,146.78,146.78,141.66,143.29,51280
2011-12-20 00:00:00+05:30,144.04,144.04,139.11,141.05,911689
2011-12-21 00:00:00+05:30,140.92,142.3,139.79,140.42,34060
2011-12-22 00:00:00+05:30,140.46,142.32,138.96,141.78,45111
2011-12-23 00:00:00+05:30,141.82,144.24,140.29,142.26,39169
