datetime,open,high,low,close,volume
2011-08-24 00:00:00+05:30,24.83,25.84,24.57,25.01,7350103
2011-08-25 00:00:00+05:30,25.14,25.31,22.82,23.12,11748649
2011-08-26 00:00:00+05:30,24.09,24.09,22.73,23.12,7067655
2011-08-29 00:00:00+05:30,23.34,23.96,23.34,23.65,4413707
2011-08-30 00:00:00+05:30,23.74,24.09,23.39,23.61,4520682
2011-09-02 00:00:00+05:30,23.56,24.35,23.43,23.78,6967635
2011-09-05 00:00:00+05:30,24.09,24.57,23.43,24.35,4762263
2011-09-06 00:00:00+05:30,24.35,25.05,24.17,24.96,4200285
2011-09-07 00:00:00+05:30,25.01,26.41,23.65,26.01,7616146
2011-09-08 00:00:00+05:30,27.42,27.42,26.01,26.19,5252545
2011-09-09 00:00:00+05:30,26.28,26.45,24.79,25.01,6235733
2011-09-12 00:00:00+05:30,25.31,25.31,23.91,24.26,4527686
2011-09-13 00:00:00+05:30,24.39,24.88,23.21,23.78,4232768
2011-09-14 00:00:00+05:30,24.09,24.44,23.52,24.22,4158977
2011-09-15 00:00:00+05:30,24.44,25.31,23.82,25.14,5349567
2011-09-16 00:00:00+05:30,25.49,25.71,24.83,25.09,7599700
2011-09-19 00:00:00+05:30,25.4,25.62,25.05,25.27,4660082
2011-09-20 00:00:00+05:30,25.62,26.28,25.14,26.1,4007430
2011-09-21 00:00:00+05:30,26.19,26.8,26.01,26.41,3733034
2011-09-22 00:00:00+05:30,25.97,26.15,24.61,24.83,3707899
2011-09-23 00:00:00+05:30,24.17,25.36,24.09,24.83,6113333
2011-09-26 00:00:00+05:30,25.09,25.14,23.3,23.56,3549193
2011-09-27 00:00:00+05:30,24.26,24.66,23.26,23.47,7458256
2011-09-28 00:00:00+05:30,23.65,23.91,23.17,23.26,3759032
2011-09-29 00:00:00+05:30,23.12,24.17,22.82,23.96,6257202
2011-09-30 00:00:00+05:30,24.04,24.09,23.39,23.69,2344970
2011-10-03 00:00:00+05:30,23.74,23.82,22.6,22.77,7267088
2011-10-04 00:00:00+05:30,22.99,22.99,21.99,22.38,4687561
2011-10-05 00:00:00+05:30,22.6,22.99,22.38,22.77,3181672
2011-10-07 00:00:00+05:30,23.47,23.47,22.34,22.82,5144886
2011-10-10 00:00:00+05:30,22.82,22.86,22.38,22.6,4885697
2011-10-11 00:00:00+05:30,22.77,22.86,22.16,22.25,5640225
2011-10-12 00:00:00+05:30,22.55,22.69,22.12,22.55,5341638
2011-10-13 00:00:00+05:30,22.6,22.82,22.47,22.69,3519631
2011-10-14 00:00:00+05:30,22.69,22.99,22.38,22.73,1990467
2011-10-17 00:00:00+05:30,22.95,23.17,22.34,22.51,3540612
2011-10-18 00:00:00+05:30,22.69,22.69,22.16,22.2,1601142
2011-10-19 00:00:00+05:30,22.25,22.51,22.07,22.16,2540861
2011-10-20 00:00:00+05:30,22.07,22.47,21.94,22.25,3601960
2011-10-21 00:00:00+05:30,22.16,22.9,22.03,22.47,6178434
2011-10-24 00:00:00+05:30,22.77,22.82,22.2,22.73,4643053
2011-10-25 00:00:00+05:30,22.77,22.99,21.85,22.34,8012572
2011-10-26 00:00:00+05:30,22.69,22.73,22.38,22.64,519773
2011-10-28 00:00:00+05:30,23.3,24.83,22.69,24.35,10001782
2011-10-31 00:00:00+05:30,24.44,24.88,24.0,24.31,6023653
2011-11-01 00:00:00+05:30,24.79,25.23,22.55,22.99,3814142
2011-11-02 00:00:00+05:30,23.08,23.39,22.77,22.86,2437713
2011-11-03 00:00:00+05:30,23.12,23.21,22.6,22.86,2455641
