datetime,open,high,low,close,volume
2011-08-24 00:00:00+05:30,56.88,58.15,56.61,57.41,3810672
2011-08-25 00:00:00+05:30,57.36,57.58,55.11,55.53,5221962
2011-08-26 00:00:00+05:30,55.26,56.58,55.13,55.57,3906576
2011-08-29 00:00:00+05:30,55.62,56.85,55.39,55.85,2899522
2011-08-30 00:00:00+05:30,56.31,56.31,55.11,55.33,7272780
2011-09-02 00:00:00+05:30,55.28,56.45,54.96,56.28,1468773
2011-09-05 00:00:00+05:30,57.18,57.51,56.31,56.79,2258077
2011-09-06 00:00:00+05:30,56.89,57.87,56.89,57.59,5462208
2011-09-07 00:00:00+05:30,57.65,58.13,57.04,58.05,5297535
2011-09-08 00:00:00+05:30,56.89,56.89,55.14,55.29,5093955
2011-09-09 00:00:00+05:30,55.49,55.65,52.98,53.45,7579467
2011-09-12 00:00:00+05:30,53.71,54.54,52.89,54.15,6826389
2011-09-13 00:00:00+05:30,54.22,54.48,53.27,53.68,5828449
2011-09-14 00:00:00+05:30,53.94,54.51,53.51,54.38,4285845
2011-09-15 00:00:00+05:30,54.45,56.12,54.45,55.96,3689218
2011-09-16 00:00:00+05:30,57.04,57.63,54.52,55.57,10240647
2011-09-19 00:00:00+05:30,55.85,55.97,54.37,54.71,3730576
2011-09-20 00:00:00+05:30,54.76,54.89,54.25,54.73,1834488
2011-09-21 00:00:00+05:30,56.87,56.87,54.45,54.84,4601400
2011-09-22 00:00:00+05:30,54.84,55.71,54.81,55.31,3932212
2011-09-23 00:00:00+05:30,54.81,56.06,54.69,55.07,3737164
2011-09-26 00:00:00+05:30,55.33,55.41,53.79,54.83,2293015
2011-09-27 00:00:00+05:30,55.11,55.25,53.99,54.52,3107665
2011-09-28 00:00:00+05:30,54.62,54.79,53.11,53.34,3345427
2011-09-29 00:00:00+05:30,53.84,54.89,52.79,54.27,6608863
2011-09-30 00:00:00+05:30,54.11,54.73,53.66,54.31,1278712
2011-10-03 00:00:00+05:30,54.53,56.45,54.26,55.99,6201690
2011-10-04 00:00:00+05:30,56.43,57.11,55.13,55.8,4262989
2011-10-05 00:00:00+05:30,55.89,56.25,54.49,54.96,2760864
2011-10-07 00:00:00+05:30,54.07,54.74,54.07,54.49,2861811
