datetime,open,high,low,close,volume
2011-08-24 00:00:00+05:30,155.8,155.8,151.0,152.9,63500
2011-08-25 00:00:00+05:30,153.78,156.75,151.58,154.93,26308
2011-08-26 00:00:00+05:30,154.25,158.45,151.0,154.1,26930
2011-08-29 00:00:00+05:30,154.0,155.0,152.55,153.88,114882
2011-08-30 00:00:00+05:30,152.0,161.0,151.8,155.25,472148
2011-09-02 00:00:00+05:30,155.0,156.0,154.0,155.13,127258
2011-09-05 00:00:00+05:30,153.5,159.85,151.5,157.03,87614
2011-09-06 00:00:00+05:30,155.15,158.0,155.15,157.08,430342
2011-09-07 00:00:00+05:30,157.5,158.0,156.0,157.0,283842
2011-09-08 00:00:00+05:30,157.45,158.48,154.15,155.33,17868
2011-09-09 00:00:00+05:30,155.0,159.8,155.0,155.93,142012
2011-09-12 00:00:00+05:30,157.5,157.5,152.75,154.55,28826
2011-09-13 00:00:00+05:30,155.05,155.53,150.0,150.8,58250
2011-09-14 00:00:00+05:30,152.0,152.0,148.5,149.45,50474
2011-09-15 00:00:00+05:30,150.0,150.98,137.03,140.23,647832
2011-09-16 00:00:00+05:30,141.08,142.25,135.65,138.95,306780
2011-09-19 00:00:00+05:30,140.85,142.35,136.75,137.53,125888
2011-09-20 00:00:00+05:30,138.88,139.5,133.53,134.88,210824
2011-09-21 00:00:00+05:30,137.0,137.0,132.0,132.58,251210
2011-09-22 00:00:00+05:30,132.33,134.9,130.05,133.23,151412
2011-09-23 00:00:00+05:30,131.0,137.18,130.15,135.38,88410
2011-09-26 00:00:00+05:30,137.45,139.0,130.7,135.83,199540
2011-09-27 00:00:00+05:30,135.0,138.48,131.53,134.35,457276
2011-09-28 00:00:00+05:30,133.65,134.98,130.7,133.18,207136
2011-09-29 00:00:00+05:30,133.18,133.78,129.5,131.53,150018
2011-09-30 00:00:00+05:30,131.53,131.53,126.23,128.6,229852
2011-10-03 00:00:00+05:30,129.85,129.85,122.6,124.03,409298
2011-10-04 00:00:00+05:30,123.13,123.98,115.55,117.98,700500
2011-10-05 00:00:00+05:30,118.48,120.48,115.1,118.53,1130400
2011-10-07 00:00:00+05:30,120.0,126.45,120.0,125.28,168656
2011-10-10 00:00:00+05:30,126.5,126.5,121.65,124.05,236882
2011-10-11 00:00:00+05:30,124.53,125.45,117.55,119.53,264724
2011-10-12 00:00:00+05:30,112.5,124.95,112.5,123.73,633170
2011-10-13 00:00:00+05:30,125.0,125.25,120.0,121.05,231486
2011-10-14 00:00:00+05:30,121.25,121.25,117.05,118.1,252048
2011-10-17 00:00:00+05:30,119.45,121.43,117.6,118.63,705698
2011-10-18 00:00:00+05:30,117.65,119.25,116.55,117.25,99838
2011-10-19 00:00:00+05:30,119.93,124.85,117.63,123.9,215266
2011-10-20 00:00:00+05:30,123.7,124.9,121.5,123.0,847112
2011-10-21 00:00:00+05:30,125.5,125.5,119.5,120.13,436282
2011-10-24 00:00:00+05:30,120.75,121.35,118.0,119.05,358564
2011-10-25 00:00:00+05:30,125.5,125.5,118.0,119.28,278296
2011-10-26 00:00:00+05:30,128.5,128.5,119.6,122.1,14632
2011-10-28 00:00:00+05:30,127.45,127.45,119.5,120.43,330498
2011-10-31 00:00:00+05:30,120.55,129.85,118.38,127.15,1054744
2011-11-01 00:00:00+05:30,128.0,138.63,128.0,136.75,3905944
2011-11-02 00:00:00+05:30,138.33,140.25,133.13,134.35,973178
2011-11-03 00:00:00+05:30,134.85,134.85,128.5,129.18,412688
2011-11-04 00:00:00+05:30,129.5,135.0,129.5,134.35,136126
2011-11-08 00:00:00+05:30,134.75,136.38,131.58,134.38,265024
2011-11-09 00:00:00+05:30,134.0,135.0,131.08,132.03,95968
2011-11-11 00:00:00+05:30,133.33,133.33,128.25,130.63,198358
2011-11-14 00:00:00+05:30,131.6,134.25,128.0,128.95,49162
2011-11-15 00:00:00+05:30,127.63,127.85,125.0,125.33,260398
2011-11-16 00:00:00+05:30,123.25,126.0,123.0,125.0,335622
2011-11-17 00:00:00+05:30,124.95,128.0,123.4,126.33,32892
2011-11-18 00:00:00+05:30,126.5,128.85,121.28,122.43,147240
2011-11-21 00:00:00+05:30,122.43,124.25,121.5,122.63,82276
2011-11-22 00:00:00+05:30,126.5,135.0,120.63,122.7,267560
2011-11-23 00:00:00+05:30,123.0,123.0,116.55,119.58,450050
2011-11-24 00:00:00+05:30,118.0,121.75,117.5,121.2,164150
2011-11-25 00:00:00+05:30,120.5,124.5,120.5,124.15,168870
2011-11-28 00:00:00+05:30,125.15,127.0,124.18,125.45,649398
2011-11-29 00:00:00+05:30,125.45,131.43,124.05,127.83,299512
2011-11-30 00:00:00+05:30,129.08,130.45,127.65,128.9,136360
2011-12-01 00:00:00+05:30,131.0,133.95,126.1,127.38,33194
2011-12-02 00:00:00+05:30,126.25,133.5,126.0,132.5,383744
2011-12-05 00:00:00+05:30,130.75,132.5,130.0,131.25,47544
2011-12-07 00:00:00+05:30,131.25,134.9,130.0,130.18,48032
