datetime,open,high,low,close,volume
2011-08-24 00:00:00+05:30,44.64,45.19,42.58,42.8,58292984
2011-08-25 00:00:00+05:30,43.01,43.41,41.54,41.78,103515442
2011-08-26 00:00:00+05:30,41.62,41.89,39.39,39.77,52463888
2011-08-29 00:00:00+05:30,40.39,42.38,40.18,42.13,55126358
2011-08-30 00:00:00+05:30,42.85,44.53,42.85,44.12,80283160
2011-09-02 00:00:00+05:30,44.26,46.4,43.41,46.15,79277979
2011-09-05 00:00:00+05:30,45.77,46.71,45.22,46.59,65052579
2011-09-06 00:00:00+05:30,46.14,46.86,45.02,46.66,50927091
2011-09-07 00:00:00+05:30,46.62,47.42,46.61,46.95,34191165
2011-09-08 00:00:00+05:30,47.06,47.28,46.05,46.27,35598286
2011-09-09 00:00:00+05:30,46.14,46.22,44.74,44.91,48682936
2011-09-12 00:00:00+05:30,44.19,44.26,42.58,42.83,64637503
2011-09-13 00:00:00+05:30,43.36,44.05,42.45,43.07,44927808
2011-09-14 00:00:00+05:30,43.32,44.6,42.76,44.21,36695256
2011-09-15 00:00:00+05:30,44.73,44.92,43.33,43.85,59224704
2011-09-16 00:00:00+05:30,44.3,44.69,43.05,43.4,78032432
2011-09-19 00:00:00+05:30,43.21,43.21,42.53,42.73,26840658
2011-09-20 00:00:00+05:30,42.73,43.56,42.59,43.42,36301194
2011-09-21 00:00:00+05:30,43.55,43.55,42.86,43.18,24451356
2011-09-22 00:00:00+05:30,42.47,42.47,41.44,41.66,47090071
2011-09-23 00:00:00+05:30,41.21,41.27,40.03,40.76,57074483
2011-09-26 00:00:00+05:30,40.68,41.41,39.57,41.01,40904855
2011-09-27 00:00:00+05:30,41.59,41.94,41.01,41.34,41857303
2011-09-28 00:00:00+05:30,41.62,41.81,40.08,40.25,37030649
2011-09-29 00:00:00+05:30,39.93,41.25,39.27,40.85,57727769
2011-09-30 00:00:00+05:30,40.55,40.76,39.0,39.11,55255535
2011-10-03 00:00:00+05:30,38.49,38.49,37.0,37.17,53630771
2011-10-04 00:00:00+05:30,37.09,38.18,36.76,37.44,50319943
2011-10-05 00:00:00+05:30,37.74,38.31,37.48,37.73,44812786
2011-10-07 00:00:00+05:30,38.94,39.68,38.67,39.52,46659895
2011-10-10 00:00:00+05:30,39.52,41.1,39.24,40.96,56290384
2011-10-11 00:00:00+05:30,41.42,41.75,40.56,40.83,52012602
2011-10-12 00:00:00+05:30,40.97,41.91,40.84,41.82,34005985
2011-10-13 00:00:00+05:30,41.96,43.07,41.59,42.7,50265596
2011-10-14 00:00:00+05:30,42.38,42.47,40.89,41.23,46498268
2011-10-17 00:00:00+05:30,41.53,41.76,40.81,41.44,29637826
2011-10-18 00:00:00+05:30,40.52,40.95,39.84,40.42,35854421
2011-10-19 00:00:00+05:30,40.65,41.19,40.45,40.87,25170277
2011-10-20 00:00:00+05:30,40.44,41.8,39.88,41.59,60076583
2011-10-21 00:00:00+05:30,41.78,41.91,40.59,40.78,35351963
2011-10-24 00:00:00+05:30,41.35,41.81,40.95,41.11,26318110
2011-10-25 00:00:00+05:30,41.42,42.93,41.15,42.57,52412313
2011-10-26 00:00:00+05:30,42.75,42.85,42.28,42.5,6892042
2011-10-28 00:00:00+05:30,44.07,46.3,43.99,45.55,57746384
2011-10-31 00:00:00+05:30,45.2,46.02,44.74,45.47,52292374
2011-11-01 00:00:00+05:30,44.92,45.25,43.85,44.45,31891687
2011-11-02 00:00:00+05:30,43.65,44.5,43.23,44.06,39454717
2011-11-03 00:00:00+05:30,43.82,44.24,42.88,43.48,41120384
2011-11-04 00:00:00+05:30,44.04,44.85,43.8,43.99,45857787
2011-11-08 00:00:00+05:30,44.29,44.45,43.7,44.02,22852661
2011-11-09 00:00:00+05:30,44.34,44.76,41.82,42.15,62938780
2011-11-11 00:00:00+05:30,40.49,40.86,39.85,40.48,64758525
2011-11-14 00:00:00+05:30,40.97,41.24,38.57,38.85,54182352
2011-11-15 00:00:00+05:30,38.94,39.08,37.3,37.71,86144791
2011-11-16 00:00:00+05:30,37.68,39.31,37.07,38.23,83434845
2011-11-17 00:00:00+05:30,38.32,39.13,37.48,37.68,58568296
2011-11-18 00:00:00+05:30,37.51,37.51,36.26,36.86,64537846
2011-11-21 00:00:00+05:30,36.62,36.85,35.49,35.76,52013739
2011-11-22 00:00:00+05:30,36.02,37.62,35.85,36.89,66370301
2011-11-23 00:00:00+05:30,36.53,36.58,35.56,36.04,53188426
2011-11-24 00:00:00+05:30,35.88,36.63,34.56,36.31,75778540
2011-11-25 00:00:00+05:30,35.76,35.88,35.05,35.31,51469921
2011-11-28 00:00:00+05:30,35.67,36.64,35.6,36.44,50069202
2011-11-29 00:00:00+05:30,36.63,37.48,36.17,36.46,57798151
2011-11-30 00:00:00+05:30,36.16,36.59,35.93,36.28,36987653
2011-12-01 00:00:00+05:30,37.8,38.63,37.48,37.92,77158308
2011-12-02 00:00:00+05:30,37.67,39.82,37.4,39.47,74265932
2011-12-05 00:00:00+05:30,39.25,39.31,38.52,38.72,48795495
2011-12-07 00:00:00+05:30,38.87,39.65,38.52,39.32,50023882
2011-12-08 00:00:00+05:30,38.98,39.26,37.86,38.05,39981502
2011-12-09 00:00:00+05:30,37.2,38.08,36.83,37.44,49630616
2011-12-12 00:00:00+05:30,37.93,38.19,36.16,36.3,39309325
2011-12-13 00:00:00+05:30,35.88,37.2,35.15,36.97,69506165
2011-12-14 00:00:00+05:30,36.91,36.96,35.27,35.39,58465316
2011-12-15 00:00:00+05:30,34.85,35.78,34.6,35.34,61985928
2011-12-16 00:00:00+05:30,35.6,35.96,34.13,34.37,53658964
2011-12-19 00:00:00+05:30,34.28,34.37,33.34,34.24,44111280
2011-12-20 00:00:00+05:30,34.4,34.52,32.08,32.28,69412879
2011-12-21 00:00:00+05:30,33.15,33.28,32.14,32.91,89359478
2011-12-22 00:00:00+05:30,32.68,33.62,32.17,33.33,76110418
2011-12-23 00:00:00+05:30,33.52,33.77,32.49,32.71,69599461
2011-12-26 00:00:00+05:30,32.91,33.87,32.78,33.68,48352640
2011-12-27 00:00:00+05:30,33.71,33.84,32.69,32.88,32985460
2011-12-28 00:00:00+05:30,32.74,33.03,32.3,32.66,34365716
2011-12-29 00:00:00+05:30,32.48,32.84,32.12,32.2,51506736
2011-12-30 00:00:00+05:30,32.45,32.67,31.45,31.58,43841861
2012-01-02 00:00:00+05:30,31.82,32.58,31.27,32.12,40838201
2012-01-03 00:00:00+05:30,32.49,34.26,32.41,34.08,61834505
2012-01-04 00:00:00+05:30,34.28,34.61,33.55,34.27,57885564
2012-01-05 00:00:00+05:30,34.37,34.99,33.85,34.15,44326692
2012-01-06 00:00:00+05:30,33.81,34.64,32.98,34.25,48348987
2012-01-07 00:00:00+05:30,34.27,34.27,34.0,34.16,2858640
2012-01-09 00:00:00+05:30,34.14,34.45,33.39,34.07,40977349
2012-01-10 00:00:00+05:30,34.02,35.16,34.02,35.01,55417035
2012-01-11 00:00:00+05:30,35.19,36.2,34.97,36.07,59695614
2012-01-12 00:00:00+05:30,36.07,36.96,35.86,36.62,51434603
2012-01-13 00:00:00+05:30,36.92,40.01,36.91,39.15,129252516
2012-01-16 00:00:00+05:30,38.85,40.44,38.44,39.72,84406981
2012-01-17 00:00:00+05:30,39.88,42.23,39.84,41.7,87120919
2012-01-18 00:00:00+05:30,41.78,41.91,39.68,40.01,77266948
2012-01-19 00:00:00+05:30,40.49,41.62,40.49,41.05,69428584
2012-01-20 00:00:00+05:30,41.25,41.86,40.54,41.11,62772862
