datetime,open,high,low,close,volume
2011-08-24 00:00:00+05:30,85.69,88.47,85.69,87.26,919526
2011-08-25 00:00:00+05:30,88.22,88.22,85.06,85.79,1585173
2011-08-26 00:00:00+05:30,85.63,88.06,85.56,86.94,1183281
2011-08-29 00:00:00+05:30,87.32,90.07,87.32,89.33,1744380
2011-08-30 00:00:00+05:30,91.9,94.03,89.59,93.05,3039094
2011-09-02 00:00:00+05:30,92.73,95.9,92.73,93.62,2808940
2011-09-05 00:00:00+05:30,93.33,93.5,91.54,91.92,554004
2011-09-06 00:00:00+05:30,92.09,97.2,91.13,96.18,2723864
2011-09-07 00:00:00+05:30,97.01,97.01,92.79,93.43,2390124
2011-09-08 00:00:00+05:30,93.14,96.43,93.14,95.44,1583365
2011-09-09 00:00:00+05:30,96.18,97.14,94.07,94.68,986848
2011-09-12 00:00:00+05:30,94.2,95.28,91.87,92.69,1552021
2011-09-13 00:00:00+05:30,93.5,94.39,92.02,92.28,691237
2011-09-14 00:00:00+05:30,92.54,93.94,90.55,93.14,1246785
2011-09-15 00:00:00+05:30,94.17,95.28,93.4,95.03,1332342
2011-09-16 00:00:00+05:30,94.99,98.16,94.1,95.67,1436918
2011-09-19 00:00:00+05:30,94.17,97.05,94.13,94.58,489860
2011-09-20 00:00:00+05:30,94.87,98.23,93.5,97.81,642002
2011-09-21 00:00:00+05:30,98.13,100.08,97.2,99.67,2113730
2011-09-22 00:00:00+05:30,98.35,99.69,91.39,93.08,1895320
2011-09-23 00:00:00+05:30,90.94,93.98,90.24,93.27,1103372
2011-09-26 00:00:00+05:30,93.36,93.81,88.57,89.91,1987381
2011-09-27 00:00:00+05:30,90.97,92.25,88.41,89.28,3223451
2011-09-28 00:00:00+05:30,89.53,90.62,87.29,88.51,1982618
2011-09-29 00:00:00+05:30,89.37,89.66,87.36,88.25,1153395
2011-09-30 00:00:00+05:30,88.85,90.62,87.61,88.06,844805
2011-10-03 00:00:00+05:30,88.06,88.06,85.73,86.49,861475
2011-10-04 00:00:00+05:30,86.3,86.97,81.92,82.43,2651842
2011-10-05 00:00:00+05:30,82.85,84.32,78.37,79.65,3531431
2011-10-07 00:00:00+05:30,80.77,83.04,80.74,82.02,1872943
2011-10-10 00:00:00+05:30,81.54,86.02,80.96,85.56,1973870
2011-10-11 00:00:00+05:30,85.69,87.42,84.15,84.73,1378539
2011-10-12 00:00:00+05:30,84.77,85.47,82.75,85.06,1203817
2011-10-13 00:00:00+05:30,85.4,87.1,85.11,85.69,759253
2011-10-14 00:00:00+05:30,85.76,93.33,84.83,91.96,3095132
2011-10-17 00:00:00+05:30,92.09,93.33,90.74,91.2,1203297
2011-10-18 00:00:00+05:30,89.76,92.09,88.73,91.48,854263
2011-10-19 00:00:00+05:30,93.33,96.76,91.77,92.92,3730645
2011-10-20 00:00:00+05:30,92.31,94.13,92.18,92.98,1007262
2011-10-21 00:00:00+05:30,93.31,94.1,87.48,91.77,4851213
2011-10-24 00:00:00+05:30,92.06,94.32,90.01,91.2,1506038
2011-10-25 00:00:00+05:30,91.9,94.13,90.52,93.55,1400133
2011-10-26 00:00:00+05:30,94.01,94.9,93.69,94.51,170520
2011-10-28 00:00:00+05:30,94.51,97.14,94.51,94.99,1199560
2011-10-31 00:00:00+05:30,95.32,96.21,92.47,93.69,1391871
2011-11-01 00:00:00+05:30,93.69,95.06,92.79,93.59,380633
2011-11-02 00:00:00+05:30,91.25,93.94,91.25,92.15,639458
2011-11-03 00:00:00+05:30,91.44,94.68,91.44,93.62,879801
2011-11-04 00:00:00+05:30,94.55,95.13,92.73,94.36,610213
2011-11-08 00:00:00+05:30,95.06,95.51,93.36,94.68,282747
2011-11-09 00:00:00+05:30,99.12,99.12,94.01,96.31,1050695
2011-11-11 00:00:00+05:30,96.43,97.14,90.24,91.67,2500544
2011-11-14 00:00:00+05:30,92.12,93.62,89.08,89.79,788244
2011-11-15 00:00:00+05:30,89.53,90.68,86.02,87.1,1244105
2011-11-16 00:00:00+05:30,86.46,87.93,85.21,86.4,1068562
2011-11-17 00:00:00+05:30,86.11,89.81,85.56,87.39,1058767
2011-11-18 00:00:00+05:30,86.02,86.62,83.29,84.83,616403
2011-11-21 00:00:00+05:30,84.48,86.02,83.71,84.83,636135
2011-11-22 00:00:00+05:30,84.7,86.4,83.52,85.4,1174921
2011-11-23 00:00:00+05:30,85.44,85.69,79.3,79.97,2468034
2011-11-24 00:00:00+05:30,80.7,84.38,76.74,83.07,2832581
2011-11-25 00:00:00+05:30,82.11,85.34,81.89,83.14,3518334
2011-11-28 00:00:00+05:30,82.02,86.74,82.02,85.15,2143040
2011-11-29 00:00:00+05:30,85.47,87.8,83.96,84.7,1543724
2011-11-30 00:00:00+05:30,83.29,88.35,83.29,87.9,1594844
2011-12-01 00:00:00+05:30,89.47,91.54,87.65,89.98,2691849
2011-12-02 00:00:00+05:30,89.59,91.77,87.17,87.74,3633307
2011-12-05 00:00:00+05:30,86.81,87.61,83.55,84.19,4190893
2011-12-07 00:00:00+05:30,84.19,86.84,84.19,84.92,4447877
2011-12-08 00:00:00+05:30,85.06,87.84,84.61,87.1,1870730
2011-12-09 00:00:00+05:30,86.3,86.91,82.49,84.73,1238713
2011-12-12 00:00:00+05:30,85.06,86.59,84.77,85.18,1471637
2011-12-13 00:00:00+05:30,84.41,85.98,83.48,85.02,1111218
2011-12-14 00:00:00+05:30,88.22,89.47,83.29,84.1,737689
2011-12-15 00:00:00+05:30,83.14,86.21,82.02,84.61,2518741
2011-12-16 00:00:00+05:30,85.06,87.87,83.29,85.85,2022461
2011-12-19 00:00:00+05:30,85.88,85.92,83.77,85.25,567283
2011-12-20 00:00:00+05:30,84.48,86.24,83.62,84.58,708229
2011-12-21 00:00:00+05:30,85.82,86.17,82.27,83.62,1419708
2011-12-22 00:00:00+05:30,83.77,84.8,81.99,83.81,1526945
2011-12-23 00:00:00+05:30,84.35,86.04,83.93,85.76,724042
2011-12-26 00:00:00+05:30,86.33,87.03,84.73,85.06,918832
2011-12-27 00:00:00+05:30,85.5,86.21,83.45,84.29,578630
2011-12-28 00:00:00+05:30,83.55,85.63,82.24,82.56,835032
2011-12-29 00:00:00+05:30,81.92,83.17,79.14,80.19,1697737
2011-12-30 00:00:00+05:30,79.36,81.85,79.36,81.15,588938
2012-01-02 00:00:00+05:30,81.51,82.88,80.86,81.22,574061
2012-01-03 00:00:00+05:30,81.73,84.41,81.41,83.74,894022
2012-01-04 00:00:00+05:30,81.25,85.66,81.25,84.48,888709
2012-01-05 00:00:00+05:30,83.39,86.14,83.39,84.89,1167460
2012-01-06 00:00:00+05:30,83.77,85.28,83.77,84.92,369724
2012-01-07 00:00:00+05:30,84.73,87.29,84.58,86.26,229311
2012-01-09 00:00:00+05:30,87.1,88.25,85.4,87.55,1635125
2012-01-10 00:00:00+05:30,88.06,93.62,88.06,92.92,2654500
2012-01-11 00:00:00+05:30,93.31,94.32,91.25,91.96,2235083
2012-01-12 00:00:00+05:30,91.92,91.92,88.61,90.39,1629120
2012-01-13 00:00:00+05:30,89.62,91.32,87.03,87.87,1748342
2012-01-16 00:00:00+05:30,87.42,87.42,85.37,85.59,1233180
2012-01-17 00:00:00+05:30,85.73,89.47,85.69,88.92,1556074
2012-01-18 00:00:00+05:30,89.56,89.56,85.85,87.36,3240090
2012-01-19 00:00:00+05:30,88.57,91.58,88.28,91.2,1697655
2012-01-20 00:00:00+05:30,92.57,92.85,89.53,91.1,587318
2012-01-23 00:00:00+05:30,90.97,91.44,89.05,89.53,267435
2012-01-24 00:00:00+05:30,89.59,90.1,88.66,89.56,474559
2012-01-25 00:00:00+05:30,90.2,92.85,89.85,91.64,1140337
2012-01-27 00:00:00+05:30,92.18,96.31,89.62,95.7,2405367
2012-01-30 00:00:00+05:30,95.92,98.13,91.48,91.92,4230598
2012-01-31 00:00:00+05:30,92.09,94.9,92.09,94.39,1258362
2012-02-01 00:00:00+05:30,95.99,95.99,92.85,93.88,1758906
2012-02-02 00:00:00+05:30,94.32,95.92,91.96,92.76,1538758
2012-02-03 00:00:00+05:30,93.05,94.61,93.05,94.13,1876631
2012-02-06 00:00:00+05:30,95.32,98.13,94.51,96.02,2527294
2012-02-07 00:00:00+05:30,96.02,97.36,93.27,94.03,1135600
2012-02-08 00:00:00+05:30,94.03,96.21,94.01,95.57,651885
2012-02-09 00:00:00+05:30,94.8,97.01,94.49,96.31,912981
2012-02-10 00:00:00+05:30,95.95,98.54,95.35,96.57,1627002
2012-02-13 00:00:00+05:30,97.84,98.49,95.44,98.2,1056174
2012-02-14 00:00:00+05:30,98.45,101.75,96.88,100.85,2898230
2012-02-15 00:00:00+05:30,101.01,105.42,100.75,102.93,2811814
2012-02-16 00:00:00+05:30,104.24,108.08,100.82,106.98,1604608
2012-02-17 00:00:00+05:30,107.44,108.94,102.0,103.05,4998488
2012-02-21 00:00:00+05:30,103.47,103.89,100.6,101.08,1418660
2012-02-22 00:00:00+05:30,101.58,101.58,94.58,96.85,3587261
2012-02-23 00:00:00+05:30,96.31,101.56,93.65,97.81,3739881
2012-02-24 00:00:00+05:30,98.1,99.09,92.73,94.01,2281016
2012-02-27 00:00:00+05:30,94.36,95.06,90.43,91.99,2278870
2012-02-28 00:00:00+05:30,92.44,95.86,91.51,94.26,1636629
2012-02-29 00:00:00+05:30,94.97,100.34,94.97,99.67,2907512
2012-03-01 00:00:00+05:30,99.12,100.4,87.67,90.81,9149819
2012-03-02 00:00:00+05:30,92.09,92.09,86.43,86.84,13375895
2012-03-03 00:00:00+05:30,88.09,89.14,86.62,88.32,686046
2012-03-05 00:00:00+05:30,87.77,87.93,85.44,86.24,3642381
2012-03-06 00:00:00+05:30,86.24,89.43,85.37,87.55,6002486
2012-03-07 00:00:00+05:30,87.03,88.76,86.04,87.67,3710896
2012-03-09 00:00:00+05:30,87.29,88.99,86.97,87.39,3371149
2012-03-12 00:00:00+05:30,86.81,89.43,85.92,86.91,2496939
2012-03-13 00:00:00+05:30,87.26,88.51,86.52,87.0,2128569
2012-03-14 00:00:00+05:30,87.61,88.25,86.97,87.58,1423878
2012-03-15 00:00:00+05:30,87.55,88.22,84.61,84.99,2818105
2012-03-16 00:00:00+05:30,84.41,87.26,84.41,85.76,2664407
2012-03-19 00:00:00+05:30,85.69,86.3,83.77,84.7,1135690
2012-03-20 00:00:00+05:30,85.08,85.66,82.49,83.77,2730297
2012-03-21 00:00:00+05:30,83.14,85.63,82.66,85.02,2195416
2012-03-22 00:00:00+05:30,85.63,86.94,83.14,83.52,2589745
2012-03-23 00:00:00+05:30,84.86,85.37,83.29,85.02,1863680
2012-03-26 00:00:00+05:30,85.56,85.56,82.24,83.0,2056663
2012-03-27 00:00:00+05:30,85.31,85.31,82.37,82.85,3118885
2012-03-28 00:00:00+05:30,84.1,84.29,81.92,82.4,2005560
2012-03-29 00:00:00+05:30,83.58,83.58,80.1,81.44,4289649
2012-03-30 00:00:00+05:30,82.21,83.96,81.76,83.2,2118675
2012-04-02 00:00:00+05:30,83.14,85.92,82.81,84.54,7177209
2012-04-03 00:00:00+05:30,85.25,87.45,84.51,86.94,2833425
2012-04-04 00:00:00+05:30,86.3,87.29,85.69,85.95,810322
2012-04-09 00:00:00+05:30,86.21,86.21,83.55,85.47,2400149
2012-04-10 00:00:00+05:30,85.73,86.11,84.06,84.73,668154
2012-04-11 00:00:00+05:30,83.33,84.7,83.33,83.77,916179
2012-04-12 00:00:00+05:30,83.96,84.61,83.26,83.81,2138215
2012-04-13 00:00:00+05:30,84.51,84.73,81.7,82.18,1637185
2012-04-16 00:00:00+05:30,82.21,82.47,80.77,81.15,1594274
2012-04-17 00:00:00+05:30,81.25,82.02,80.58,81.18,2658526
2012-04-18 00:00:00+05:30,81.73,82.18,80.61,80.84,1763178
2012-04-19 00:00:00+05:30,81.12,82.62,80.77,81.85,2718801
2012-04-20 00:00:00+05:30,82.75,82.75,81.06,81.85,2850585
2012-04-23 00:00:00+05:30,81.85,82.78,81.25,81.7,1489132
2012-04-24 00:00:00+05:30,78.66,80.07,75.97,76.74,8279180
2012-04-25 00:00:00+05:30,77.12,77.82,76.16,77.03,1270475
2012-04-26 00:00:00+05:30,76.96,77.25,71.82,72.23,8070645
2012-04-27 00:00:00+05:30,72.61,74.31,69.07,70.09,5450432
2012-04-28 00:00:00+05:30,70.67,73.0,70.15,72.64,551950
2012-04-30 00:00:00+05:30,73.38,74.75,71.82,74.37,8726133
2012-05-02 00:00:00+05:30,75.27,77.29,75.14,76.81,6291316
2012-05-03 00:00:00+05:30,76.14,82.3,76.14,81.28,6865497
2012-05-04 00:00:00+05:30,81.54,83.33,74.05,76.71,8067261
2012-05-07 00:00:00+05:30,77.06,77.09,71.75,76.33,9583359
2012-05-08 00:00:00+05:30,77.67,79.07,75.94,77.25,2738569
2012-05-09 00:00:00+05:30,76.86,76.86,72.93,74.56,2324278
2012-05-10 00:00:00+05:30,74.73,77.86,74.7,76.58,1951805
2012-05-11 00:00:00+05:30,77.0,77.15,74.18,76.23,1061128
2012-05-14 00:00:00+05:30,74.95,77.15,74.25,75.9,1065601
2012-05-15 00:00:00+05:30,76.74,76.74,72.01,73.64,1682109
2012-05-16 00:00:00+05:30,72.9,75.4,72.45,74.53,1101261
2012-05-17 00:00:00+05:30,74.98,78.02,74.98,77.38,1846385
2012-05-18 00:00:00+05:30,76.38,76.58,74.82,75.62,1420043
2012-05-21 00:00:00+05:30,76.61,77.25,74.34,74.73,1050799
2012-05-22 00:00:00+05:30,74.95,76.61,73.86,74.22,1721384
2012-05-23 00:00:00+05:30,74.18,75.23,73.67,74.27,720588
2012-05-24 00:00:00+05:30,74.53,75.3,73.22,73.45,969072
2012-05-25 00:00:00+05:30,74.05,74.44,72.78,73.22,627749
2012-05-28 00:00:00+05:30,73.64,74.98,73.19,74.53,832389
2012-05-29 00:00:00+05:30,75.04,75.04,73.86,74.44,653517
2012-05-30 00:00:00+05:30,74.5,74.5,70.6,72.84,2972804
