datetime,open,high,low,close,volume
2011-08-24 00:00:00+05:30,82.8,85.01,81.02,81.75,5048663
2011-08-25 00:00:00+05:30,82.7,82.87,80.46,81.51,5242926
2011-08-26 00:00:00+05:30,81.47,81.6,75.22,76.27,7689413
2011-08-29 00:00:00+05:30,75.48,80.16,73.01,79.6,23541936
2011-08-30 00:00:00+05:30,80.46,88.65,79.9,87.59,27426028
2011-09-02 00:00:00+05:30,86.26,88.26,85.04,86.99,12286689
2011-09-05 00:00:00+05:30,86.58,87.53,84.48,86.99,6751949
2011-09-06 00:00:00+05:30,85.51,87.49,83.86,87.18,7888355
2011-09-07 00:00:00+05:30,87.4,89.74,86.75,87.34,8174483
2011-09-08 00:00:00+05:30,88.13,88.67,85.47,86.89,6096601
2011-09-09 00:00:00+05:30,86.82,87.14,85.02,85.44,5320698
2011-09-12 00:00:00+05:30,83.45,84.91,81.39,83.3,8365676
2011-09-13 00:00:00+05:30,83.71,85.94,83.3,85.1,5256076
2011-09-14 00:00:00+05:30,86.33,86.6,82.59,83.58,9069379
2011-09-15 00:00:00+05:30,84.35,84.48,81.66,83.9,9516162
2011-09-16 00:00:00+05:30,84.76,85.44,82.98,83.79,10796327
2011-09-19 00:00:00+05:30,83.41,83.41,81.77,82.33,5375203
2011-09-20 00:00:00+05:30,82.85,84.13,81.99,83.66,5843643
2011-09-21 00:00:00+05:30,84.57,84.57,81.84,82.39,5776229
2011-09-22 00:00:00+05:30,80.74,81.24,79.0,79.75,6383493
2011-09-23 00:00:00+05:30,77.58,79.22,76.9,77.5,7001572
2011-09-26 00:00:00+05:30,76.94,77.03,73.2,74.55,7039661
2011-09-27 00:00:00+05:30,76.21,76.62,74.12,74.88,8323003
2011-09-28 00:00:00+05:30,75.14,75.28,71.96,73.29,8862626
2011-09-29 00:00:00+05:30,71.33,72.69,70.86,71.55,9555301
2011-09-30 00:00:00+05:30,71.44,75.93,71.1,75.05,21728190
2011-10-03 00:00:00+05:30,73.35,74.28,71.85,72.71,6246204
2011-10-04 00:00:00+05:30,72.41,73.89,71.23,72.39,6743451
2011-10-05 00:00:00+05:30,72.06,73.76,71.7,72.21,6892608
2011-10-07 00:00:00+05:30,75.22,77.24,74.77,76.72,4854528
2011-10-10 00:00:00+05:30,74.06,81.32,72.88,80.93,17229825
2011-10-11 00:00:00+05:30,81.54,84.69,80.31,83.68,14180967
2011-10-12 00:00:00+05:30,83.79,86.02,83.79,85.68,9274024
2011-10-13 00:00:00+05:30,84.87,87.08,83.86,85.75,6399104
2011-10-14 00:00:00+05:30,84.29,84.84,81.02,82.31,10779941
2011-10-17 00:00:00+05:30,82.74,83.26,81.11,82.33,4973882
2011-10-18 00:00:00+05:30,80.16,82.68,80.12,81.82,4098600
2011-10-19 00:00:00+05:30,82.33,84.31,79.47,80.16,9071009
2011-10-20 00:00:00+05:30,79.26,80.08,77.33,78.27,5702781
2011-10-21 00:00:00+05:30,79.34,79.54,76.72,77.15,5704040
2011-10-24 00:00:00+05:30,78.91,79.47,76.83,78.21,4468231
2011-10-25 00:00:00+05:30,78.36,79.69,76.02,79.04,9839561
2011-10-26 00:00:00+05:30,77.24,77.3,74.84,76.72,3448736
2011-10-28 00:00:00+05:30,79.58,79.58,76.08,76.94,11762742
2011-10-31 00:00:00+05:30,77.05,78.76,76.06,77.6,7574864
2011-11-01 00:00:00+05:30,76.45,78.34,76.45,77.95,5192991
2011-11-02 00:00:00+05:30,77.09,78.55,76.72,77.75,3771074
2011-11-03 00:00:00+05:30,77.46,79.37,76.83,78.92,5881345
2011-11-04 00:00:00+05:30,79.56,81.13,77.99,78.57,9742245
