datetime,open,high,low,close,volume
2024-08-22 09:15:00+05:30,816.0,816.9,814.0,816.08,781732
2024-08-22 09:20:00+05:30,816.15,816.5,815.55,816.0,392178
2024-08-22 09:25:00+05:30,815.98,817.83,815.5,817.83,530984
2024-08-22 09:30:00+05:30,817.85,818.18,817.03,817.73,263464
2024-08-22 09:35:00+05:30,817.73,819.15,817.55,817.75,270272
2024-08-22 09:40:00+05:30,817.8,818.63,817.55,817.55,195838
2024-08-22 09:45:00+05:30,817.55,817.73,816.0,816.0,250816
2024-08-22 09:50:00+05:30,816.0,816.33,815.5,816.05,254926
2024-08-22 09:55:00+05:30,816.05,817.2,815.6,817.03,304308
2024-08-22 10:00:00+05:30,817.05,817.5,815.23,815.75,547086
2024-08-22 10:05:00+05:30,815.75,816.75,815.73,816.58,162396
2024-08-22 10:10:00+05:30,816.55,817.0,816.2,817.0,115504
2024-08-22 10:15:00+05:30,816.9,817.1,816.43,816.88,152134
2024-08-22 10:20:00+05:30,816.88,817.4,816.5,817.18,110558
2024-08-22 10:25:00+05:30,817.2,817.5,816.28,816.65,204502
2024-08-22 10:30:00+05:30,816.53,817.5,816.25,817.03,163284
2024-08-22 10:35:00+05:30,817.03,817.45,816.28,816.4,154154
2024-08-22 10:40:00+05:30,816.5,816.8,816.25,816.4,161970
2024-08-22 10:45:00+05:30,816.4,816.63,815.5,816.0,152456
2024-08-22 10:50:00+05:30,815.98,816.18,815.0,815.85,237306
2024-08-22 10:55:00+05:30,815.83,815.88,815.3,815.5,109888
2024-08-22 11:00:00+05:30,815.48,815.8,815.0,815.18,152208
2024-08-22 11:05:00+05:30,815.18,815.45,814.55,815.25,144656
2024-08-22 11:10:00+05:30,815.23,815.5,814.5,815.4,255590
2024-08-22 11:15:00+05:30,815.38,816.0,814.83,815.03,182988
2024-08-22 11:20:00+05:30,815.18,815.6,814.88,815.55,132640
2024-08-22 11:25:00+05:30,815.55,816.3,815.3,816.3,144460
2024-08-22 11:30:00+05:30,816.2,816.5,815.6,815.98,192888
2024-08-22 11:35:00+05:30,815.98,816.5,815.95,816.18,101672
2024-08-22 11:40:00+05:30,816.45,817.25,815.9,817.08,368786
2024-08-22 11:45:00+05:30,817.08,817.23,816.45,816.83,138162
2024-08-22 11:50:00+05:30,816.93,817.1,816.5,816.83,235340
2024-08-22 11:55:00+05:30,816.8,816.98,816.5,816.85,140266
2024-08-22 12:00:00+05:30,816.85,817.1,816.7,816.98,102398
2024-08-22 12:05:00+05:30,816.98,817.1,816.83,817.05,104176
2024-08-22 12:10:00+05:30,816.95,817.08,815.6,816.5,372570
2024-08-22 12:15:00+05:30,816.3,816.5,815.7,816.15,131642
2024-08-22 12:20:00+05:30,816.13,816.5,815.8,816.38,159908
2024-08-22 12:25:00+05:30,816.38,817.0,816.13,816.68,233820
2024-08-22 12:30:00+05:30,816.68,817.15,816.13,816.43,260908
2024-08-22 12:35:00+05:30,816.35,816.7,816.0,816.05,156942
2024-08-22 12:40:00+05:30,816.18,816.73,816.0,816.18,141226
2024-08-22 12:45:00+05:30,816.45,817.15,816.2,817.0,197986
2024-08-22 12:50:00+05:30,817.1,817.45,817.0,817.45,107182
2024-08-22 12:55:00+05:30,817.45,817.5,817.0,817.18,158458
2024-08-22 13:00:00+05:30,817.23,817.5,816.55,816.68,246346
2024-08-22 13:05:00+05:30,816.65,817.23,816.53,816.9,144138
2024-08-22 13:10:00+05:30,816.9,817.4,816.65,817.4,121194
2024-08-22 13:15:00+05:30,817.4,817.75,817.08,817.65,238068
2024-08-22 13:20:00+05:30,817.68,817.98,817.53,817.68,188534
2024-08-22 13:25:00+05:30,817.78,818.0,817.13,817.58,197406
2024-08-22 13:30:00+05:30,817.68,817.9,817.28,817.5,138828
2024-08-22 13:35:00+05:30,817.5,817.83,817.0,817.35,166242
2024-08-22 13:40:00+05:30,817.35,817.5,817.1,817.5,105850
2024-08-22 13:45:00+05:30,817.5,817.83,817.3,817.58,182724
2024-08-22 13:50:00+05:30,817.58,817.63,816.8,817.2,168006
2024-08-22 13:55:00+05:30,817.2,817.3,816.73,817.1,179908
2024-08-22 14:00:00+05:30,817.1,817.35,816.65,817.0,212010
2024-08-22 14:05:00+05:30,817.0,817.13,816.45,816.53,211422
2024-08-22 14:10:00+05:30,816.55,817.33,816.28,817.0,367650
2024-08-22 14:15:00+05:30,817.03,817.48,816.35,816.43,194214
2024-08-22 14:20:00+05:30,816.45,816.88,816.23,816.33,222834
2024-08-22 14:25:00+05:30,816.33,816.73,816.0,816.38,356754
2024-08-22 14:30:00+05:30,816.4,816.48,815.33,815.7,293532
2024-08-22 14:35:00+05:30,815.88,816.7,815.6,816.15,190152
2024-08-22 14:40:00+05:30,816.18,816.5,815.93,816.13,180734
2024-08-22 14:45:00+05:30,816.2,816.48,815.75,816.13,277576
2024-08-22 14:50:00+05:30,816.15,816.48,815.7,816.15,457378
2024-08-22 14:55:00+05:30,816.08,816.35,815.65,815.83,326316
2024-08-22 15:00:00+05:30,815.85,816.05,814.28,815.73,1262064
2024-08-22 15:05:00+05:30,815.75,815.8,814.63,815.63,1438606
2024-08-22 15:10:00+05:30,815.68,816.38,815.2,816.05,775074
2024-08-22 15:15:00+05:30,816.05,816.43,815.93,816.3,741942
2024-08-22 15:20:00+05:30,816.38,816.53,815.58,815.8,827912
2024-08-22 15:25:00+05:30,815.85,816.13,814.0,814.48,759430
2024-08-23 09:15:00+05:30,816.95,817.0,812.53,814.68,1062016
2024-08-23 09:20:00+05:30,814.78,815.78,813.5,815.5,316032
2024-08-23 09:25:00+05:30,815.53,815.8,814.0,814.03,242658
