symbol,action,qty,ref_price,value,reason
ADANIENSOL,BUY,32,1541.9,49341.0,new entry
LAURUSLABS,BUY,27,1802.0,48654.0,new entry
NATIONALUM,BUY,126,394.45,49701.0,new entry
BHARATFORG,BUY,24,2063.0,49512.0,new entry
ADANIPOWER,BUY,243,205.5,49936.0,new entry
GRANULES,BUY,58,858.15,49773.0,new entry
IDEA,BUY,3586,13.94,49989.0,new entry
FEDERALBNK,BUY,138,361.0,49818.0,new entry
BHEL,BUY,121,413.0,49973.0,new entry
SONACOMS,BUY,61,817.6,49874.0,new entry
VEDL,BUY,179,279.0,49941.0,new entry
CUMMINSIND,BUY,9,5107.5,45968.0,new entry
NAVINFLUOR,BUY,6,8206.5,49239.0,new entry
NYKAA,BUY,149,334.0,49766.0,new entry
SHRIRAMFIN,BUY,44,1130.0,49720.0,new entry
L&TFH,BUY,157,317.15,49793.0,new entry
TORNTPHARM,BUY,10,4896.5,48965.0,new entry
HINDALCO,BUY,48,1034.0,49632.0,new entry
MOTHERSON,BUY,295,169.38,49967.0,new entry
M&MFIN,BUY,131,381.6,49990.0,new entry
